,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
1,Bad Wimsbach,albumins,2.66,0.08,,2.66 ± 0.08,,globulins,0.65,0.01,0.65 ± 0.01,,,gliadins,5.38,0.1,5.38 ± 0.1,,,glutenins,4.27,0.44,4.27 ± 0.44,,12.96,0.46,12.96 ± 0.46,,12.4,,t-Test: Paired Two Sample for Means,,
2,Bad Wimsbach,albumins,1.94,0.02,,1.94 ± 0.02,,globulins,0.85,0.01,0.85 ± 0.01,,,gliadins,5.89,0.33,5.89 ± 0.33,,,glutenins,3.38,0.2,3.38 ± 0.2,,12.06,0.39,12.06 ± 0.39,,12.2,,,,
3,Bad Wimsbach,albumins,2.2,0.05,,2.2 ± 0.05,,globulins,0.83,0.002,0.83 ± 0.002,,,gliadins,5.34,0.07,5.34 ± 0.07,,,glutenins,3.3,0.2,3.3 ± 0.2,,11.67,0.22,11.67 ± 0.22,,13,,,Variable 1,Variable 2
4,Bad Wimsbach,albumins,2.5,0.17,,2.5 ± 0.17,,globulins,1.1,0.1,1.1 ± 0.1,,,gliadins,5.11,0.18,5.11 ± 0.18,,,glutenins,4.49,0.17,4.49 ± 0.17,,13.2,0.32,13.2 ± 0.32,,11.9,,Mean,11.8765,11.595
5,Bad Wimsbach,albumins,1.95,0.06,,1.95 ± 0.06,,globulins,1.09,0.03,1.09 ± 0.03,,,gliadins,5.8,0.07,5.8 ± 0.07,,,glutenins,3.34,0.01,3.34 ± 0.01,,12.18,0.1,12.18 ± 0.1,,13,,Variance,3.442568898,3.970991525
6,Bad Wimsbach,albumins,2.18,0.04,,2.18 ± 0.04,,globulins,1.27,0.13,1.27 ± 0.13,,,gliadins,5.82,0.3,5.82 ± 0.3,,,glutenins,4.87,0.25,4.87 ± 0.25,,14.14,0.41,14.14 ± 0.41,,11.3,,Observations,60,60
7,Bad Wimsbach,albumins,2.31,0.11,,2.31 ± 0.11,,globulins,1.04,0.02,1.04 ± 0.02,,,gliadins,5.98,0.08,5.98 ± 0.08,,,glutenins,2.98,0.14,2.98 ± 0.14,,12.31,0.2,12.31 ± 0.2,,12.4,,Pearson Correlation,0.8593413,
8,Bad Wimsbach,albumins,2.06,0.07,,2.06 ± 0.07,,globulins,1,0.08,1 ± 0.08,,,gliadins,5.67,0.62,5.67 ± 0.62,,,glutenins,3.54,0.36,3.54 ± 0.36,,12.27,0.72,12.27 ± 0.72,,12.5,,Hypothesized Mean Difference,0,
9,Bad Wimsbach,albumins,2.23,0.15,,2.23 ± 0.15,,globulins,0.51,0.03,0.51 ± 0.03,,,gliadins,5.71,0.3,5.71 ± 0.3,,,glutenins,4.04,0.31,4.04 ± 0.31,,12.49,0.46,12.49 ± 0.46,,12.7,,df,59,
10,Bad Wimsbach,albumins,2.42,0.09,,2.42 ± 0.09,,globulins,1.29,0.03,1.29 ± 0.03,,,gliadins,5.18,0.36,5.18 ± 0.36,,,glutenins,2.76,0.43,2.76 ± 0.43,,11.65,0.57,11.65 ± 0.57,,12.5,,t Stat,2.11889261,
11,Bad Wimsbach,albumins,2.56,0.06,,2.56 ± 0.06,,globulins,0.78,0.08,0.78 ± 0.08,,,gliadins,5.76,0.31,5.76 ± 0.31,,,glutenins,3.76,0.18,3.76 ± 0.18,,12.86,0.37,12.86 ± 0.37,,11.8,,P(T<=t) one-tail,0.019159673,
12,Bad Wimsbach,albumins,2.26,0.18,,2.26 ± 0.18,,globulins,0.64,0.01,0.64 ± 0.01,,,gliadins,5.71,0.09,5.71 ± 0.09,,,glutenins,2.64,0.2,2.64 ± 0.2,,11.25,0.28,11.25 ± 0.28,,13.4,,t Critical one-tail,1.671093032,
13,Bad Wimsbach,albumins,1.7,0.09,,1.7 ± 0.09,,globulins,1.04,0.06,1.04 ± 0.06,,,gliadins,5.51,0.22,5.51 ± 0.22,,,glutenins,3.44,0.07,3.44 ± 0.07,,11.69,0.25,11.69 ± 0.25,,12.2,,P(T<=t) two-tail,0.038319346,
14,Bad Wimsbach,albumins,2.16,0.07,,2.16 ± 0.07,,globulins,1.28,0.1,1.28 ± 0.1,,,gliadins,5.25,1.02,5.25 ± 1.02,,,glutenins,4.3,0.45,4.3 ± 0.45,,12.99,1.12,12.99 ± 1.12,,14.3,,t Critical two-tail,2.000995378,
15,Bad Wimsbach,albumins,2.21,0.1,,2.21 ± 0.1,,globulins,1.12,0.07,1.12 ± 0.07,,,gliadins,5.38,0.27,5.38 ± 0.27,,,glutenins,3.29,0.24,3.29 ± 0.24,,12,0.38,12 ± 0.38,,12,,,,
16,Flinsbach,albumins,3.31,0.26,,3.31 ± 0.26,,globulins,2.05,0.03,2.05 ± 0.03,,,gliadins,5.69,0.49,5.69 ± 0.49,,,glutenins,2.7,0.24,2.7 ± 0.24,,13.75,0.61,13.75 ± 0.61,,13.9,,,,
17,Flinsbach,albumins,3.29,0.11,,3.29 ± 0.11,,globulins,2.36,0.08,2.36 ± 0.08,,,gliadins,5.73,0.14,5.73 ± 0.14,,,glutenins,3.67,0.32,3.67 ± 0.32,,15.05,0.37,15.05 ± 0.37,,14.9,,,,
18,Flinsbach,albumins,3.49,0.24,,3.49 ± 0.24,,globulins,2.44,0.06,2.44 ± 0.06,,,gliadins,5.69,0.23,5.69 ± 0.23,,,glutenins,3.77,0.44,3.77 ± 0.44,,15.39,0.55,15.39 ± 0.55,,14.5,,,,
19,Flinsbach,albumins,2.53,0.07,,2.53 ± 0.07,,globulins,1.82,0.03,1.82 ± 0.03,,,gliadins,5.63,0.62,5.63 ± 0.62,,,glutenins,2.49,0.31,2.49 ± 0.31,,12.47,0.7,12.47 ± 0.7,,14.5,,,,
20,Flinsbach,albumins,2.54,0.1,,2.54 ± 0.1,,globulins,1.99,0.03,1.99 ± 0.03,,,gliadins,5.32,0.32,5.32 ± 0.32,,,glutenins,3.45,0.04,3.45 ± 0.04,,13.3,0.34,13.3 ± 0.34,,13.9,,,,
21,Flinsbach,albumins,2.92,0.12,,2.92 ± 0.12,,globulins,1.93,0.1,1.93 ± 0.1,,,gliadins,5.8,0.52,5.8 ± 0.52,,,glutenins,3.32,0.44,3.32 ± 0.44,,13.97,0.7,13.97 ± 0.7,,13.1,,,,
22,Flinsbach,albumins,2.63,0.3,,2.63 ± 0.3,,globulins,1.86,0.01,1.86 ± 0.01,,,gliadins,5.61,0.34,5.61 ± 0.34,,,glutenins,3.3,0.33,3.3 ± 0.33,,13.4,0.56,13.4 ± 0.56,,14.5,,,,
