amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,wavenumber,spectra
0.0013607053112062357,1678.357065987773,7.1290262336033345,2.169576318013351e-06,3.346697569734779e-06,0.9956467205536178,0.9925372352347733,7.799896358807631e-07,1.7724444424127523e-13,5.534226107047561e-07,1.2530876648684897e-07,6.379486561653499e-10,3.265391682063854e-06,1697.051,0.0
0.004202987668073912,1655.598853849894,5.951248242399397,1.0359904985329795,5.790912875838764e-06,,,,1.8718161947233445e-13,5.998302376201918e-07,1.418609966405021e-07,7.584965980625083e-10,8.627503170292054e-06,1695.122,1.14594031247402e-07
0.0005452903163614029,1637.6857637559501,3.4299827277470976,0.7702191254268974,9.840288448675804e-06,,,,1.9798314404904331e-13,6.52423453921292e-07,1.6197127729279045e-07,9.178138482453975e-10,1.893735806602381e-05,1693.194,5.9235970463092195e-06
0.00039269994536128225,1628.999998015414,3.011076406898402,0.002923897046421931,1.6025620172528037e-05,,,,2.0976623252108233e-13,7.124451981467836e-07,1.8678840867588755e-07,1.1357798359249926e-09,3.4560725392118146e-05,1691.265,1.540350060136612e-05
0.0007823395888013413,1615.5759468924778,4.483947240897642,0.00013537313584362527,2.466017827729964e-05,,,,2.226414946367802e-13,7.813275203581976e-07,2.1791001538864913e-07,1.4551237062670024e-09,5.2408429634014126e-05,1689.337,2.517371790214215e-05
,,,,3.561340772819735e-05,,,,2.367654964919823e-13,8.610480693172553e-07,2.5778728065629766e-07,2.1803084405555808e-09,6.606332686335322e-05,1687.408,3.453962145719888e-05
,,,,4.807215787189187e-05,,,,2.5229122386471776e-13,9.539891480344329e-07,3.1013138579022714e-07,7.755534345145161e-09,6.920793811382365e-05,1685.48,4.700624351987979e-05
,,,,6.055623531728016e-05,,,,2.6943240274791734e-13,1.0634958945044052e-06,3.8115801433874203e-07,6.876194088288572e-08,6.025712544536182e-05,1683.552,6.284793701113222e-05
,,,,7.11558886709025e-05,,,,2.8840546381198694e-13,1.1938233931292053e-06,4.81764100508146e-07,5.543375704006101e-07,4.3609449342919605e-05,1681.623,7.655505485190317e-05
,,,,7.803079167338732e-05,,,,3.0951079261780327e-13,1.3511544864660877e-06,6.345728823787339e-07,3.09239607960665e-06,2.622573816712783e-05,1679.695,8.172110548601252e-05
,,,,8.007013054616654e-05,,,,3.330718248202227e-13,1.5440118012406072e-06,8.969506546570359e-07,1.1514355112663017e-05,1.3112362281117375e-05,1677.766,7.77428899934505e-05
,,,,7.738194101515357e-05,,,,3.5959091311455385e-13,1.7858011594685168e-06,1.4480576144051817e-06,2.85104019206044e-05,5.44670166809814e-06,1675.838,6.983763110375044e-05
