amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,area_5,area_6,wavenumber,spectra
0.0010099074299893564,1675.9999999949403,4.690217214962833,0.7054710984372023,1.2679879012960952e-06,0.998230736482188,0.9958717184584386,3.713695669266981e-07,4.038828045254591e-08,7.784304064016281e-08,3.0635510348450014e-10,6.67426112526119e-15,4.597044046703373e-09,6.144594988933374e-08,2.9453003579257697e-06,1695.122,0.0
0.0010958513622882943,1666.0105041071756,4.632661048603015,0.9396967331879427,1.6841241900138869e-06,,,,4.256458950862572e-08,8.272645996046866e-08,3.2882297307888014e-10,7.317574027860457e-15,5.0830247986427475e-09,7.121873304433587e-08,5.84179253693506e-06,1693.194,8.479672814635044e-07
0.00057904454730337,1656.9200151475945,3.8304365922499586,0.00519324408585256,2.4936044286082363e-06,,,,4.492122342058365e-08,8.808426929383922e-08,3.538576954673604e-10,8.115924091293287e-15,5.649886458961663e-09,8.35279608471079e-08,1.106214401201372e-05,1691.265,3.0050208307821295e-06
0.0009448877806458769,1646.0718810766396,5.5923949133312245,4.367421050279956e-08,4.211707172293178e-06,,,,4.748150072661691e-08,9.398671901519517e-08,3.8189858365266614e-10,9.717527626842889e-15,6.317319772322157e-09,9.935744630507343e-08,1.9053706012960803e-05,1689.337,4.670416683674064e-06
8.8556197557519e-06,1639.824625248247,0.0004835320717041464,2.5160238866055975,7.833299629076553e-06,,,,5.026672902359968e-08,1.0050375864503554e-07,4.1341639929516736e-10,1.871006139126464e-14,7.109672488315322e-09,1.201764582942508e-07,2.9040131858377898e-05,1687.408,6.443303566325884e-06
0.0001294877177811273,1628.0156115184661,1.6684732644108307,1.1076024221826255,1.4819055889936268e-05,,,,5.330745546289042e-08,1.0773223189458976e-07,4.490538880799682e-10,9.604696358635022e-14,8.06114634016691e-09,1.4837967710893103e-07,3.8639129661874106e-05,1685.48,1.206938989540855e-05
0.0006063205709872396,1613.1216571457703,4.750149508321537,0.7186657088627774,2.6547241011657133e-05,,,,5.663254548750358e-08,1.1577183219718153e-07,4.895240571779949e-10,7.400014370887777e-13,9.215967006288896e-09,1.8792228059527375e-07,4.456049071312083e-05,1683.552,2.5231690510205475e-05
,,,,4.309571878304507e-05,,,,6.028273709350635e-08,1.247594663526024e-07,5.358008430275202e-10,5.552181586780098e-12,1.063786531872181e-08,2.459942933181542e-07,4.442276053129202e-05,1681.623,4.457814882142876e-05
,,,,6.206979658955767e-05,,,,6.429782689378631e-08,1.3484092312260775e-07,5.890048251117567e-10,3.740966758484652e-11,1.2413672104443195e-08,3.3649109664597996e-07,3.828426845261191e-05,1679.695,6.379059229336841e-05
,,,,7.90680452797372e-05,,,,6.873325553442138e-08,1.4621551631114057e-07,6.506753829613098e-10,2.2441417539433203e-10,1.4673312155664197e-08,4.902777827164067e-07,2.860306717601227e-05,1677.766,7.837857441411544e-05
,,,,9.015132489249745e-05,,,,7.36450111699527e-08,1.5910305116679015e-07,7.226552417984838e-10,1.1945567559377639e-09,1.760548545300109e-08,7.889378130056026e-07,1.86636691471935e-05,1675.838,8.857432740986453e-05
,,,,9.477159603194841e-05,,,,7.911031468791955e-08,1.7380398400288365e-07,8.075073125425894e-10,5.650726936316736e-09,2.1508528338520485e-08,1.5286467520413037e-06,1.0784919133455173e-05,1673.909,9.463790476870701e-05
,,,,9.589106416921633e-05,,,,8.520980808587617e-08,1.9066214886935065e-07,9.084394630427797e-10,2.3715106610265204e-08,2.6853029191614455e-08,4.0182777114136505e-06,5.677585307661706e-06,1671.981,9.651272919302775e-05
,,,,9.678631904921823e-05,,,,9.205398039992079e-08,2.1014997612975216e-07,1.0300101420970994e-09,8.843245177413777e-08,3.4446456411260737e-08,1.128076708877741e-05,2.8612284673091906e-06,1670.052,9.731568750425088e-05
,,,,9.771863731014174e-05,,,,9.976224473769872e-08,2.3283032895596244e-07,1.178234636463084e-09,2.925975275536979e-07,4.571607377531776e-08,1.9240742017905787e-05,1.4900077833042937e-06,1668.124,9.803155954761931e-05
,,,,9.64677951791737e-05,,,,1.0849294217317882e-07,2.5947101767876066e-07,1.361859965425833e-09,8.596299522379067e-07,6.342776888849135e-08,1.5229584014361786e-05,8.6465175439751e-07,1666.195,9.600975595408047e-05
,,,,9.232579031459551e-05,,,,1.1844332201449434e-07,2.9109338727598483e-07,1.5937202499326322e-09,2.2435557491879125e-06,9.342587914253282e-08,6.2544914187435094e-06,5.741425493546755e-07,1664.267,9.180858037840163e-05
,,,,8.836671438020175e-05,,,,1.2984281463997608e-07,3.2901881701817644e-07,1.893184087122333e-09,5.196544536933431e-06,1.4942067285777155e-07,2.1758014559499024e-06,4.2396859327971906e-07,1662.338,8.819858630867235e-05
,,,,8.803338045973546e-05,,,,1.4300653086657812e-07,3.751567379080374e-07,2.2979343678327227e-09,1.0691122306423517e-05,2.682165770515461e-07,1.0000410391429208e-06,3.339094498963184e-07,1660.41,8.799048216156412e-05
,,,,8.975758417370386e-05,,,,1.5830886373717812e-07,4.321109218045002e-07,2.954538920361576e-09,1.9522613448934632e-05,5.512091037444183e-07,5.852801504715462e-07,2.730386613167835e-07,1658.481,9.082094047278755e-05
