wavenumber1,beta_sheet1,beta_turn,alpha_helix,beta_sheet,side_chain,wavenumber2,globulins
1600.627,3.71189E-83,9.60368E-24,5.50072E-22,4.26517E-13,1.05561E-07,1700.908,-8.71315E-08
1600.827763,8.25832E-83,1.19582E-23,7.23225E-22,5.23733E-13,1.18181E-07,1698.979,2.17869E-06
1600.928144,1.23097E-82,1.33409E-23,8.2898E-22,5.8011E-13,1.24978E-07,1697.051,6.60763E-06
1601.028526,1.83404E-82,1.48814E-23,9.49973E-22,6.42371E-13,1.3212E-07,1695.122,1.17814E-05
1601.128907,2.73134E-82,1.65974E-23,1.08836E-21,7.11111E-13,1.39619E-07,1693.194,1.63548E-05
1601.229288,4.06581E-82,1.85087E-23,1.24662E-21,7.86981E-13,1.4749E-07,1691.265,1.95677E-05
1601.32967,6.04956E-82,2.06371E-23,1.42754E-21,8.70696E-13,1.5575E-07,1689.337,2.14116E-05
1601.430051,8.99717E-82,2.30069E-23,1.63432E-21,9.63041E-13,1.64413E-07,1687.408,2.23599E-05
1601.530432,1.3375E-81,2.56453E-23,1.87062E-21,1.06487E-12,1.73496E-07,1685.48,2.2763E-05
1601.630814,1.9874E-81,2.85821E-23,2.14056E-21,1.17714E-12,1.83015E-07,1683.552,2.26894E-05
1601.731195,2.95178E-81,3.18507E-23,2.44887E-21,1.30086E-12,1.92986E-07,1681.623,2.22934E-05
1601.831577,4.38214E-81,3.5488E-23,2.80092E-21,1.43718E-12,2.03429E-07,1679.695,2.18575E-05
1601.931958,6.50272E-81,3.95351E-23,3.20281E-21,1.58733E-12,2.14359E-07,1677.766,2.15242E-05
1602.032339,9.64514E-81,4.40374E-23,3.66149E-21,1.75267E-12,2.25795E-07,1675.838,2.139E-05
1602.132721,1.42997E-80,4.90454E-23,4.18486E-21,1.93467E-12,2.37757E-07,1673.909,2.16901E-05
1602.233102,2.1191E-80,5.46152E-23,4.78189E-21,2.13496E-12,2.50262E-07,1671.981,2.27469E-05
1602.333483,3.13892E-80,6.08088E-23,5.46279E-21,2.3553E-12,2.63331E-07,1670.052,2.4991E-05
1602.433865,4.64745E-80,6.76951E-23,6.23914E-21,2.59765E-12,2.76982E-07,1668.124,2.90186E-05
1602.534246,6.87788E-80,7.53506E-23,7.12412E-21,2.86411E-12,2.91237E-07,1666.195,3.52087E-05
1602.556,7.48724E-80,7.71191E-23,7.33165E-21,2.92525E-12,2.94408E-07,1664.267,4.31767E-05
1602.634628,1.01742E-79,8.38598E-23,8.13268E-21,3.157E-12,3.06115E-07,1662.338,5.15485E-05
1602.735009,1.50435E-79,9.33166E-23,9.2818E-21,3.47884E-12,3.21639E-07,1660.41,5.82565E-05
1602.83539,2.22333E-79,1.03825E-22,1.05908E-20,3.83239E-12,3.37828E-07,1658.481,6.12453E-05
1602.935772,3.28447E-79,1.155E-22,1.20814E-20,4.22067E-12,3.54705E-07,1656.553,5.93522E-05
1603.036153,4.84988E-79,1.2847E-22,1.37786E-20,4.64695E-12,3.72291E-07,1654.625,5.28842E-05
1603.136535,7.15817E-79,1.42876E-22,1.57104E-20,5.11482E-12,3.90609E-07,1652.696,4.3617E-05
1603.236916,1.05603E-78,1.58875E-22,1.79087E-20,5.62819E-12,4.09681E-07,1650.768,3.41339E-05
1603.337297,1.55725E-78,1.7664E-22,2.04098E-20,6.19131E-12,4.29531E-07,1648.839,2.69764E-05
1603.437679,2.29534E-78,1.96363E-22,2.32546E-20,6.80881E-12,4.5018E-07,1646.911,2.39517E-05
1603.53806,3.38173E-78,2.18257E-22,2.64896E-20,7.48576E-12,4.71653E-07,1644.982,2.54893E-05
1603.638441,4.98007E-78,2.42559E-22,3.01674E-20,8.22765E-12,4.93973E-07,1643.054,3.04125E-05
1603.738823,7.33057E-78,2.69527E-22,3.43476E-20,9.04049E-12,5.17164E-07,1641.125,3.67123E-05
1603.839204,1.07856E-77,2.99451E-22,3.90977E-20,9.93077E-12,5.41249E-07,1639.197,4.23702E-05
1603.939586,1.5862E-77,3.3265E-22,4.4494E-20,1.09056E-11,5.66253E-07,1637.268,4.5505E-05
1604.039967,2.33172E-77,3.69476E-22,5.06229E-20,1.19727E-11,5.922E-07,1635.34,4.4769E-05
1604.140348,3.4261E-77,4.10321E-22,5.75824E-20,1.31404E-11,6.19113E-07,1633.411,3.99658E-05
1604.24073,5.03185E-77,4.55617E-22,6.54829E-20,1.4418E-11,6.47017E-07,1631.483,3.20667E-05
1604.341111,7.38689E-77,5.0584E-22,7.44495E-20,1.58151E-11,6.75936E-07,1629.554,2.2932E-05
1604.441492,1.08393E-76,5.6152E-22,8.46237E-20,1.73427E-11,7.05894E-07,1627.626,1.48514E-05
1604.484,1.27487E-76,5.86883E-22,8.93343E-20,1.80317E-11,7.189E-07,1625.698,9.55666E-06
1604.541874,1.58981E-76,6.2324E-22,9.61653E-20,1.90124E-11,7.36916E-07,1623.769,7.47907E-06
1604.642255,2.33074E-76,6.91644E-22,1.09255E-19,2.08369E-11,7.69025E-07,1621.841,7.84212E-06
1604.742637,3.41546E-76,7.67447E-22,1.24096E-19,2.28299E-11,8.02246E-07,1619.912,9.17734E-06
1604.843018,5.00275E-76,8.51437E-22,1.4092E-19,2.50064E-11,8.36601E-07,1617.984,1.00241E-05
1604.943399,7.32443E-76,9.44483E-22,1.59986E-19,2.73825E-11,8.72114E-07,1616.055,9.6208E-06
1605.043781,1.07188E-75,1.04755E-21,1.81589E-19,2.99758E-11,9.08809E-07,1614.127,8.11115E-06
1605.144162,1.56791E-75,1.16169E-21,2.06059E-19,3.28054E-11,9.46708E-07,1612.198,6.16626E-06
1605.244544,2.29245E-75,1.2881E-21,2.3377E-19,3.58917E-11,9.85834E-07,1610.27,4.42951E-06
1605.344925,3.35032E-75,1.42805E-21,2.65145E-19,3.92571E-11,1.02621E-06,1608.341,3.20333E-06
1605.445306,4.89416E-75,1.58297E-21,3.00658E-19,4.29258E-11,1.06785E-06,1606.413,2.41628E-06
1605.545688,7.14619E-75,1.75446E-21,3.40847E-19,4.69239E-11,1.11079E-06,1604.484,1.76009E-06
1605.646069,1.04298E-74,1.94425E-21,3.86315E-19,5.12797E-11,1.15504E-06,1602.556,9.45039E-07
1605.74645,1.52154E-74,2.15426E-21,4.37743E-19,5.60237E-11,1.20062E-06,1600.627,-9.31437E-08
1605.846832,2.21868E-74,2.38662E-21,4.95899E-19,6.11891E-11,1.24755E-06,,
1605.947213,3.2338E-74,2.64365E-21,5.61646E-19,6.68117E-11,1.29585E-06,,
1606.047595,4.71124E-74,2.92796E-21,6.35959E-19,7.29299E-11,1.34554E-06,,
1606.147976,6.86062E-74,3.24237E-21,7.19931E-19,7.95856E-11,1.39663E-06,,
1606.248357,9.98611E-74,3.59004E-21,8.14796E-19,8.68239E-11,1.44914E-06,,
1606.348739,1.4529E-73,3.97442E-21,9.2194E-19,9.46933E-11,1.50309E-06,,
1606.413,1.84662E-73,4.24151E-21,9.9769E-19,1.00087E-10,1.53838E-06,,
1606.44912,2.1129E-73,4.39932E-21,1.04292E-18,1.03246E-10,1.55849E-06,,
1606.549502,3.07133E-73,4.86896E-21,1.1795E-18,1.1254E-10,1.61534E-06,,
1606.649883,4.46253E-73,5.38796E-21,1.33364E-18,1.22635E-10,1.67368E-06,,
1606.750264,6.48097E-73,5.96144E-21,1.50757E-18,1.33596E-10,1.73349E-06,,
1606.850646,9.40815E-73,6.59501E-21,1.70377E-18,1.45497E-10,1.7948E-06,,
1606.951027,1.36513E-72,7.29488E-21,1.92505E-18,1.58411E-10,1.85761E-06,,
1607.051408,1.97993E-72,8.06787E-21,2.17454E-18,1.72423E-10,1.92193E-06,,
1607.15179,2.87031E-72,8.92149E-21,2.45578E-18,1.8762E-10,1.98777E-06,,
1607.252171,4.15924E-72,9.86402E-21,2.77272E-18,2.04098E-10,2.05512E-06,,
1607.352553,6.02428E-72,1.09046E-20,3.12982E-18,2.2196E-10,2.12399E-06,,
1607.452934,8.72169E-72,1.20532E-20,3.53207E-18,2.41316E-10,2.19438E-06,,
1607.553315,1.26212E-71,1.33208E-20,3.98506E-18,2.62285E-10,2.2663E-06,,
1607.653697,1.82561E-71,1.47198E-20,4.49507E-18,2.84994E-10,2.33973E-06,,
1607.754078,2.63949E-71,1.62632E-20,5.06914E-18,3.0958E-10,2.41467E-06,,
1607.854459,3.81449E-71,1.7966E-20,5.71515E-18,3.36191E-10,2.49112E-06,,
1607.954841,5.51008E-71,1.98443E-20,6.44195E-18,3.64985E-10,2.56906E-06,,
1608.055222,7.95583E-71,2.19157E-20,7.25944E-18,3.96132E-10,2.6485E-06,,
1608.155604,1.1482E-70,2.42E-20,8.17871E-18,4.29813E-10,2.72941E-06,,
1608.255985,1.65636E-70,2.67185E-20,9.21217E-18,4.66225E-10,2.81178E-06,,
1608.341,2.25829E-70,2.90521E-20,1.0187E-17,4.99353E-10,2.88268E-06,,
1608.356366,2.38835E-70,2.94949E-20,1.03737E-17,5.05576E-10,2.89561E-06,,
1608.456748,3.44228E-70,3.25551E-20,1.1679E-17,5.48091E-10,2.98086E-06,,
1608.557129,4.95906E-70,3.59278E-20,1.31453E-17,5.94012E-10,3.06752E-06,,
1608.657511,7.14099E-70,3.96442E-20,1.47922E-17,6.43596E-10,3.15557E-06,,
1608.757892,1.02783E-69,4.37388E-20,1.66414E-17,6.97118E-10,3.24498E-06,,
1608.858273,1.47874E-69,4.82494E-20,1.87173E-17,7.54875E-10,3.33572E-06,,
1608.958655,2.1265E-69,5.32176E-20,2.10471E-17,8.17184E-10,3.42778E-06,,
1609.059036,3.05664E-69,5.86889E-20,2.36612E-17,8.84381E-10,3.52111E-06,,
1609.159417,4.39167E-69,6.47136E-20,2.65937E-17,9.56831E-10,3.61568E-06,,
1609.259799,6.30695E-69,7.13465E-20,2.98824E-17,1.03492E-09,3.71147E-06,,
1609.36018,9.05345E-69,7.8648E-20,3.35698E-17,1.11906E-09,3.80842E-06,,
1609.460562,1.29902E-68,8.66844E-20,3.77032E-17,1.20969E-09,3.90651E-06,,
1609.560943,1.86303E-68,9.55284E-20,4.23354E-17,1.30729E-09,4.00568E-06,,
1609.661324,2.67074E-68,1.0526E-19,4.75253E-17,1.41236E-09,4.1059E-06,,
1609.761706,3.8269E-68,1.15966E-19,5.33387E-17,1.52544E-09,4.20712E-06,,
1609.862087,5.48111E-68,1.27742E-19,5.98488E-17,1.6471E-09,4.30928E-06,,
1609.962468,7.84684E-68,1.40695E-19,6.71374E-17,1.77795E-09,4.41234E-06,,
1610.06285,1.12286E-67,1.54939E-19,7.52956E-17,1.91864E-09,4.51625E-06,,
1610.163231,1.60607E-67,1.706E-19,8.4425E-17,2.06988E-09,4.62095E-06,,
1610.263613,2.29618E-67,1.87818E-19,9.46385E-17,2.2324E-09,4.72637E-06,,
1610.27,2.34897E-67,1.8897E-19,9.5328E-17,2.24314E-09,4.73311E-06,,
1610.363994,3.28135E-67,2.06744E-19,1.06062E-16,2.40699E-09,4.83247E-06,,
1610.464375,4.68712E-67,2.27544E-19,1.18837E-16,2.59449E-09,4.93918E-06,,
1610.564757,6.69212E-67,2.50402E-19,1.33118E-16,2.79579E-09,5.04643E-06,,
1610.665138,9.55051E-67,2.75516E-19,1.49079E-16,3.01186E-09,5.15417E-06,,
1610.76552,1.36237E-66,3.03106E-19,1.66914E-16,3.24368E-09,5.26231E-06,,
1611.668952,3.26547E-65,7.10945E-19,4.56568E-16,6.24133E-09,6.24205E-06,,
1611.769333,4.63731E-65,7.81023E-19,5.09968E-16,6.70251E-09,6.3502E-06,,
1611.869715,6.58251E-65,8.57887E-19,5.69476E-16,7.19569E-09,6.4579E-06,,
1611.970096,9.33948E-65,9.42181E-19,6.35776E-16,7.72296E-09,6.56507E-06,,
1612.070477,1.32452E-64,1.03461E-18,7.09625E-16,8.28648E-09,6.67163E-06,,
1612.170859,1.87759E-64,1.13594E-18,7.91863E-16,8.88858E-09,6.77749E-06,,
1612.198,2.0632E-64,1.16498E-18,8.15657E-16,9.05831E-09,6.80598E-06,,
1612.27124,2.6604E-64,1.24702E-18,8.83419E-16,9.53169E-09,6.88255E-06,,
1612.371622,3.7679E-64,1.36877E-18,9.85325E-16,1.02184E-08,6.98674E-06,,
1612.472003,5.33404E-64,1.50219E-18,1.09872E-15,1.09515E-08,7.08996E-06,,
1612.572384,7.54777E-64,1.64838E-18,1.22488E-15,1.17337E-08,7.19212E-06,,
1612.672766,1.06755E-63,1.80854E-18,1.36519E-15,1.25683E-08,7.29314E-06,,
1612.773147,1.50924E-63,1.98398E-18,1.52121E-15,1.34583E-08,7.39293E-06,,
1612.873529,2.13274E-63,2.17612E-18,1.69466E-15,1.44073E-08,7.49139E-06,,
1612.97391,3.01246E-63,2.38653E-18,1.88743E-15,1.54187E-08,7.58844E-06,,
1613.074291,4.25314E-63,2.61692E-18,2.10163E-15,1.64965E-08,7.684E-06,,
1613.174673,6.0021E-63,2.86913E-18,2.33957E-15,1.76445E-08,7.77796E-06,,
1613.275054,8.46647E-63,3.1452E-18,2.60383E-15,1.88669E-08,7.87025E-06,,
1613.375435,1.19373E-62,3.44735E-18,2.89725E-15,2.01683E-08,7.96078E-06,,
1613.475817,1.68235E-62,3.77798E-18,3.22295E-15,2.15533E-08,8.04945E-06,,
1613.576198,2.3699E-62,4.13973E-18,3.58442E-15,2.30268E-08,8.1362E-06,,
1613.67658,3.33696E-62,4.53548E-18,3.98547E-15,2.4594E-08,8.22094E-06,,
1613.776961,4.69652E-62,4.96835E-18,4.43033E-15,2.62603E-08,8.30357E-06,,
1613.877342,6.60703E-62,5.44175E-18,4.92366E-15,2.80315E-08,8.38403E-06,,
1613.977724,9.29056E-62,5.95941E-18,5.47062E-15,2.99136E-08,8.46223E-06,,
1614.078105,1.30582E-61,6.52538E-18,6.07688E-15,3.19129E-08,8.5381E-06,,
1614.127,1.54108E-61,6.81987E-18,6.39553E-15,3.29312E-08,8.57418E-06,,
1614.178486,1.83455E-61,7.14409E-18,6.74872E-15,3.40361E-08,8.61155E-06,,
1614.278868,2.5762E-61,7.82034E-18,7.49303E-15,3.62901E-08,8.68253E-06,,
1614.379249,3.61607E-61,8.55939E-18,8.31745E-15,3.86823E-08,8.75095E-06,,
1614.479631,5.07339E-61,9.36694E-18,9.23036E-15,4.12204E-08,8.81674E-06,,
1614.580012,7.11484E-61,1.02492E-17,1.0241E-14,4.39124E-08,8.87984E-06,,
1614.680393,9.97327E-61,1.1213E-17,1.13596E-14,4.67669E-08,8.94019E-06,,
1614.780775,1.39738E-60,1.22656E-17,1.25974E-14,4.97926E-08,8.99771E-06,,
1614.881156,1.95703E-60,1.34152E-17,1.39666E-14,5.29989E-08,9.05236E-06,,
1614.981538,2.73959E-60,1.46704E-17,1.5481E-14,5.63955E-08,9.10407E-06,,
