Wavenumbers [1/cm],Absorbance
3997.712,-0.000121285
3995.783,-0.00013676
3993.855,-0.000138882
3991.926,-0.000132102
3989.998,-0.000134742
3988.069,-0.000140538
3986.141,-0.000136346
3984.212,-0.000129928
3982.284,-0.000121233
3980.355,-0.000105809
3978.427,-9.18E-05
3976.499,-9.09E-05
3974.57,-0.000106585
3972.642,-0.000127858
3970.713,-0.000142764
3968.785,-0.000144161
3966.856,-0.000128686
3964.928,-0.000109484
3962.999,-0.000108086
3961.071,-0.000120508
3959.142,-0.000122993
3957.214,-0.000115436
3955.285,-0.000114297
3953.357,-0.000122786
3951.428,-0.000135363
3949.5,-0.000144161
3947.572,-0.000144368
3945.643,-0.000144368
3943.715,-0.000152131
3941.786,-0.000157565
3939.858,-0.000149181
3937.929,-0.00013381
3936.001,-0.000128117
3934.072,-0.000133862
3932.144,-0.000135984
3930.215,-0.000132982
3928.287,-0.000134586
3926.358,-0.000135984
3924.43,-0.000132464
3922.501,-0.000134742
3920.573,-0.000145558
3918.645,-0.000154512
3916.716,-0.000157721
3914.788,-0.000157358
3912.859,-0.000152442
3910.931,-0.000142401
3909.002,-0.000131429
3907.074,-0.000133551
3905.145,-0.00015063
3903.217,-0.000161343
3901.288,-0.00015446
3899.36,-0.000143126
3897.431,-0.000140486
3895.503,-0.000141211
3893.574,-0.000140745
3891.646,-0.000145817
3889.718,-0.000157928
3887.789,-0.000172108
3885.861,-0.000171694
3883.932,-0.000147836
3882.004,-0.000130446
3880.075,-0.000142557
3878.147,-0.000161602
3876.218,-0.0001645
3874.29,-0.000162068
3872.361,-0.000172004
3870.433,-0.000187064
3868.504,-0.000188823
3866.576,-0.000176713
3864.647,-0.00016538
3862.719,-0.00016657
3860.791,-0.000176972
3858.862,-0.000181992
3856.934,-0.000175264
3855.005,-0.000169934
3853.077,-0.000178628
3851.148,-0.000189289
3849.22,-0.000183389
3847.291,-0.000162585
3845.363,-0.000146386
3843.434,-0.000146542
3841.506,-0.000157824
3839.577,-0.000177438
3837.649,-0.000193791
3835.72,-0.000192808
3833.792,-0.000185822
3831.864,-0.00018401
3829.935,-0.00017987
3828.007,-0.000174022
3826.078,-0.000172159
3824.15,-0.000166829
3822.221,-0.000167657
3820.293,-0.000187633
3818.364,-0.000200104
3816.436,-0.000192963
3814.507,-0.000191152
3812.579,-0.00020471
3810.65,-0.000220958
3808.722,-0.000224218
3806.793,-0.000212368
3804.865,-0.000193066
3802.937,-0.000175937
3801.008,-0.000173815
3799.08,-0.00018665
3797.151,-0.000201346
3795.223,-0.000211954
3793.294,-0.000216819
3791.366,-0.000212213
3789.437,-0.000202899
3787.509,-0.00020352
3785.58,-0.000211333
3783.652,-0.000213662
3781.723,-0.000216301
3779.795,-0.000224011
3777.866,-0.000230945
3775.938,-0.000233998
3774.01,-0.000236482
3772.081,-0.000241708
3770.153,-0.000233532
3768.224,-0.000210299
3766.296,-0.000205383
3764.367,-0.000229444
3762.439,-0.000253557
3760.51,-0.000255006
3758.582,-0.000249159
3756.653,-0.000250349
3754.725,-0.000239379
3752.796,-0.000222666
3750.868,-0.000232704
3748.939,-0.000265561
3747.011,-0.000301415
3745.083,-0.000351389
3743.154,-0.000436373
3741.226,-0.000543162
3739.297,-0.00064491
3737.369,-0.000748546
3735.44,-0.000870139
3733.512,-0.000996966
3731.583,-0.001101138
3729.655,-0.001156493
3727.726,-0.001169712
3725.798,-0.001165529
3723.869,-0.001133257
3721.941,-0.001050062
3720.012,-0.000913641
3718.084,-0.000749166
3716.156,-0.000610842
3714.227,-0.000562914
3712.299,-0.000634364
3710.37,-0.000772371
3708.442,-0.000903567
3706.513,-0.00101086
3704.585,-0.001095303
3702.656,-0.001151795
3700.728,-0.001183446
3698.799,-0.001185459
3696.871,-0.001152776
3694.942,-0.001110795
3693.014,-0.001088692
3691.085,-0.001074439
3689.157,-0.00103808
3687.229,-0.000990303
3685.3,-0.000963752
3683.372,-0.000968039
3681.443,-0.000993505
3679.515,-0.001024496
3677.586,-0.00105688
3675.658,-0.001076092
3673.729,-0.001069843
3671.801,-0.001070462
3669.872,-0.001095251
3667.944,-0.001139815
3666.015,-0.001206524
3664.087,-0.001268938
3662.158,-0.001299807
3660.23,-0.001315859
3658.302,-0.001346414
3656.373,-0.001385637
3654.445,-0.001422845
3652.516,-0.001475786
3650.588,-0.001540586
3648.659,-0.001589437
3646.731,-0.001627194
