Wavenumbers [1/cm],Absorbance
3997.712,0.000256554
3995.783,0.000267433
3993.855,0.000274245
3991.926,0.000270645
3989.998,0.000266733
3988.069,0.000269039
3986.141,0.000273235
3984.212,0.000275644
3982.284,0.000281187
3980.355,0.000286238
3978.427,0.000281446
3976.499,0.000272509
3974.57,0.000265309
3972.642,0.000263392
3970.713,0.000271784
3968.785,0.000278881
3966.856,0.000273338
3964.928,0.000267951
3962.999,0.000275825
3961.071,0.000285772
3959.142,0.000275514
3957.214,0.000257745
3955.285,0.000262796
3953.357,0.000272561
3951.428,0.000259818
3949.5,0.000243293
3947.572,0.000239459
3945.643,0.000237154
3943.715,0.000240703
3941.786,0.000258108
3939.858,0.000262382
3937.929,0.000240495
3936.001,0.000223194
3934.072,0.00023143
3932.144,0.000250674
3930.215,0.00025974
3928.287,0.000257797
3926.358,0.000252332
3924.43,0.000243888
3922.501,0.000236248
3920.573,0.000233528
3918.645,0.000233554
3916.716,0.000231845
3914.788,0.000228892
3912.859,0.000227416
3910.931,0.000227416
3909.002,0.000232803
3907.074,0.000242231
3905.145,0.000240185
3903.217,0.000219102
3901.288,0.000197788
3899.36,0.000201414
3897.431,0.000221174
3895.503,0.000225189
3893.574,0.000209105
3891.646,0.000195328
3889.718,0.000191676
3887.789,0.000189863
3885.861,0.000189138
3883.932,0.000192039
3882.004,0.000197762
3880.075,0.000208846
3878.147,0.000218817
3876.218,0.00021602
3874.29,0.0002039
3872.361,0.000193178
3870.433,0.000192557
3868.504,0.000203071
3866.576,0.000209442
3864.647,0.000201595
3862.719,0.000187274
3860.791,0.000171425
3858.862,0.00015959
3856.934,0.000156095
3855.005,0.0001519
3853.077,0.000151744
3851.148,0.000170985
3849.22,0.000193903
3847.291,0.00020074
3845.363,0.000200663
3843.434,0.000201543
3841.506,0.000197374
3839.577,0.00019424
3837.649,0.000204858
3835.72,0.000212654
3833.792,0.000194551
3831.864,0.000163242
3829.935,0.000140584
3828.007,0.000130174
3826.078,0.000131184
3824.15,0.000143069
3822.221,0.000161481
3820.293,0.000177769
3818.364,0.000178624
3816.436,0.000163786
3814.507,0.000151071
3812.579,0.000150087
3810.65,0.000153945
3808.722,0.000153194
3806.793,0.000146798
3804.865,0.000138693
3802.937,0.000132945
3801.008,0.000134162
3799.08,0.00014092
3797.151,0.000146073
3795.223,0.000149232
3793.294,0.000154178
3791.366,0.000153065
3789.437,0.00014004
3787.509,0.000130589
3785.58,0.000136777
3783.652,0.000149983
3781.723,0.000156897
3779.795,0.000158192
3777.866,0.000159332
3775.938,0.000152676
3774.01,0.000135301
3772.081,0.000120335
3770.153,0.000118289
3768.224,0.000123261
3766.296,0.000123312
3764.367,0.000115985
3762.439,0.000102288
3760.51,8.94E-05
3758.582,8.73E-05
3756.653,9.10E-05
3754.725,8.56E-05
3752.796,7.08E-05
3750.868,5.51E-05
3748.939,4.02E-05
3747.011,1.72E-05
3745.083,-3.12E-05
3743.154,-9.60E-05
3741.226,-0.00015948
3739.297,-0.000239586
3737.369,-0.000339853
3735.44,-0.000431667
3733.512,-0.000498743
3731.583,-0.00054218
3729.655,-0.00057098
3727.726,-0.000592074
3725.798,-0.000591092
3723.869,-0.000555675
3721.941,-0.000499519
3720.012,-0.000426547
3718.084,-0.00033049
3716.156,-0.000240621
3714.227,-0.000217853
3712.299,-0.000288895
3710.37,-0.000414547
3708.442,-0.000542903
3706.513,-0.000631831
3704.585,-0.00065985
3702.656,-0.00064429
3700.728,-0.000618183
3698.799,-0.00062175
3696.871,-0.000660263
3694.942,-0.000682284
3693.014,-0.000667293
3691.085,-0.000650545
3689.157,-0.00065132
3687.229,-0.00065773
3685.3,-0.000658506
3683.372,-0.000660728
3681.443,-0.0006843
3679.515,-0.000724461
3677.586,-0.00075635
3675.658,-0.000775834
3673.729,-0.000791389
3671.801,-0.000816504
3669.872,-0.000859495
3667.944,-0.000910128
3666.015,-0.000951147
3664.087,-0.000979558
3662.158,-0.001016439
3660.23,-0.001064885
3658.302,-0.001102222
3656.373,-0.001126751
3654.445,-0.00116522
3652.516,-0.001225781
3650.588,-0.001274668
3648.659,-0.001300684
3646.731,-0.001328556
3644.802,-0.001370207
3642.874,-0.001424496
3640.945,-0.001481358
3639.017,-0.001551522
3637.088,-0.001652261
3635.16,-0.001740291
3633.231,-0.00177788
3631.303,-0.001809589
3629.375,-0.001867019
3627.446,-0.001905731
3625.518,-0.001917019
3623.589,-0.001942378
3621.661,-0.001937173
3619.732,-0.001852069
3617.804,-0.001753594
3615.875,-0.001690889
3613.947,-0.001661132
3612.018,-0.001678563
3610.09,-0.001732865
3608.161,-0.00180268
3606.233,-0.001885989
3604.304,-0.001975312
3602.376,-0.002037667
3600.448,-0.002029783
3598.519,-0.00197088
3596.591,-0.001935523
3594.662,-0.001937327
3592.734,-0.001932482
3590.805,-0.001917174
3588.877,-0.001898824
3586.948,-0.001858204
3585.02,-0.001825674
3583.091,-0.001840212
3581.163,-0.001840728
3579.234,-0.001777364
3577.306,-0.001713992
3575.377,-0.001708165
3573.449,-0.00175576
3571.521,-0.001818869
3569.592,-0.00183449
3567.664,-0.00180005
3565.735,-0.001776591
3563.807,-0.001759679
3561.878,-0.001719046
3559.95,-0.001708577
3558.021,-0.001732659
3556.093,-0.001718014
3554.164,-0.001698882
3552.236,-0.001726987
3550.307,-0.001751429
3548.379,-0.001749933
3546.45,-0.001758802
3544.522,-0.001789739
3542.594,-0.001826396
3540.665,-0.001850729
3538.737,-0.001826705
3536.808,-0.00176071
3534.88,-0.001748387
3532.951,-0.001822942
3531.023,-0.001909391
3529.094,-0.001954902
3527.166,-0.001967426
3525.237,-0.001972219
3523.309,-0.00195918
3521.38,-0.001932173
3519.452,-0.001949594
3517.523,-0.00201489
3515.595,-0.002070851
3513.667,-0.002104702
3511.738,-0.002148596
3509.81,-0.002209536
3507.881,-0.00225754
3505.953,-0.002282467
3504.024,-0.002326549
3502.096,-0.002412589
3500.167,-0.002478382
3498.239,-0.002491509
3496.31,-0.002492281
3494.382,-0.002467983
3492.453,-0.00243761
3490.525,-0.002497531
3488.596,-0.002638653
3486.668,-0.002773659
3484.74,-0.002872262
3482.811,-0.002912479
3480.883,-0.002877611
3478.954,-0.002871954
3477.026,-0.002960766
3475.097,-0.003018404
3473.169,-0.003038763
3471.24,-0.003121372
3469.312,-0.003185259
3467.383,-0.003174569
3465.455,-0.003142498
3463.526,-0.003106209
3461.598,-0.003123583
3459.669,-0.003222313
3457.741,-0.003315112
3455.813,-0.003395768
3453.884,-0.003579167
3451.956,-0.003852504
3450.027,-0.004052842
3448.099,-0.004096847
3446.17,-0.003993237
3444.242,-0.003840496
3442.313,-0.003826486
3440.385,-0.004007036
3438.456,-0.004254933
3436.528,-0.004412499
3434.599,-0.0044413
3432.671,-0.00442854
3430.742,-0.004462925
3428.814,-0.004630507
3426.885,-0.004837757
3424.957,-0.004842467
3423.029,-0.004715273
3421.1,-0.004724337
3419.172,-0.004935944
3417.243,-0.005197737
3415.315,-0.005298554
3413.386,-0.005289655
3411.458,-0.005421385
3409.529,-0.005674301
3407.601,-0.005792479
3405.672,-0.005706084
3403.744,-0.005623453
3401.815,-0.005756104
3399.887,-0.006014136
3397.958,-0.006155242
3396.03,-0.006250377
3394.102,-0.006482715
3392.173,-0.006745311
3390.245,-0.00686437
3388.316,-0.0068421
3386.388,-0.006812897
3384.459,-0.006896575
3382.531,-0.007039331
3380.602,-0.007091898
3378.674,-0.007094954
3376.745,-0.007181837
3374.817,-0.007214528
3372.888,-0.007095718
3370.96,-0.007033269
3369.031,-0.007103969
3367.103,-0.007179494
3365.175,-0.007237441
3363.246,-0.007339669
3361.318,-0.007396373
3359.389,-0.007263713
3357.461,-0.007109622
3355.532,-0.007238918
3353.604,-0.007505178
3351.675,-0.007529908
3349.747,-0.007407316
3347.818,-0.007435308
3345.89,-0.00752599
3343.961,-0.007492406
3342.033,-0.007407723
3340.104,-0.007382019
3338.176,-0.007404771
3336.248,-0.007500548
3334.319,-0.007642495
3332.391,-0.007633796
3330.462,-0.007473018
3328.534,-0.007446962
3326.605,-0.007610243
3324.677,-0.007648599
3322.748,-0.007419073
3320.82,-0.007176235
3318.891,-0.007144814
3316.963,-0.007277001
3315.034,-0.007405178
3313.106,-0.007421974
3311.177,-0.007386295
3309.249,-0.007343996
3307.321,-0.007247166
3305.392,-0.007173231
3303.464,-0.007178272
3301.535,-0.007180615
3299.607,-0.007165134
3297.678,-0.00710947
3295.75,-0.007005914
3293.821,-0.006921187
3291.893,-0.006785171
3289.964,-0.00661959
3288.036,-0.006657728
3286.107,-0.006814324
3284.179,-0.006750561
3282.25,-0.006475982
3280.322,-0.006314469
3278.394,-0.00641166
3276.465,-0.006617551
3274.537,-0.006760705
3272.608,-0.006777678
3270.68,-0.006747452
3268.751,-0.0067867
3266.823,-0.0068183
3264.894,-0.006742405
3262.966,-0.006632185
3261.037,-0.006675063
3259.109,-0.00684526
3257.18,-0.006865797
3255.252,-0.006830327
3253.323,-0.007017936
3251.395,-0.007295126
3249.467,-0.007454189
3247.538,-0.007529959
3245.61,-0.00759025
3243.681,-0.0075439
3241.753,-0.007323176
3239.824,-0.007132694
3237.896,-0.007145527
3235.967,-0.007238867
3234.039,-0.007264782
3232.11,-0.00723907
3230.182,-0.00723515
3228.253,-0.00725633
3226.325,-0.007289373
3224.396,-0.00729818
3222.468,-0.007166662
3220.54,-0.006985179
3218.611,-0.006984517
3216.683,-0.007046004
3214.754,-0.006987319
3212.826,-0.006925518
3210.897,-0.006918639
3208.969,-0.006824313
3207.04,-0.006604651
3205.112,-0.006447724
3203.183,-0.006482256
3201.255,-0.006576095
3199.326,-0.00659741
3197.398,-0.006638864
3195.469,-0.006775232
3193.541,-0.006848266
3191.613,-0.006737359
3189.684,-0.006513164
3187.756,-0.00627482
3185.827,-0.006178569
3183.899,-0.006273902
3181.97,-0.00632503
3180.042,-0.006208375
3178.113,-0.006084593
3176.185,-0.006107821
3174.256,-0.006257827
3172.328,-0.006325745
3170.399,-0.006203475
3168.471,-0.006094599
3166.542,-0.006091842
3164.614,-0.006034712
3162.686,-0.005909603
