Wavenumbers [1/cm],Absorbance
3997.712,4.94E-06
3995.783,-1.04E-07
3993.855,6.34E-06
3991.926,1.43E-05
3989.998,4.58E-06
3988.069,-7.20E-06
3986.141,-5.95E-06
3984.212,2.95E-06
3982.284,1.37E-05
3980.355,2.35E-05
3978.427,2.53E-05
3976.499,1.12E-05
3974.57,-4.87E-06
3972.642,-8.85E-06
3970.713,-1.12E-05
3968.785,-1.62E-05
3966.856,-1.48E-05
3964.928,-6.57E-06
3962.999,3.88E-07
3961.071,-3.26E-06
3959.142,-1.50E-05
3957.214,-1.70E-05
3955.285,-9.06E-06
3953.357,-5.90E-06
3951.428,-3.73E-06
3949.5,-4.66E-07
3947.572,-6.73E-07
3945.643,2.28E-06
3943.715,6.29E-06
3941.786,-5.44E-06
3939.858,-3.03E-05
3937.929,-4.41E-05
3936.001,-3.91E-05
3934.072,-3.02E-05
3932.144,-3.25E-05
3930.215,-4.31E-05
3928.287,-4.12E-05
3926.358,-2.93E-05
3924.43,-3.01E-05
3922.501,-4.51E-05
3920.573,-5.04E-05
3918.645,-3.41E-05
3916.716,-1.67E-05
3914.788,-1.79E-05
3912.859,-2.99E-05
3910.931,-3.53E-05
3909.002,-3.33E-05
3907.074,-4.04E-05
3905.145,-5.44E-05
3903.217,-5.04E-05
3901.288,-3.54E-05
3899.36,-3.79E-05
3897.431,-5.31E-05
3895.503,-6.14E-05
3893.574,-6.01E-05
3891.646,-5.48E-05
3889.718,-4.85E-05
3887.789,-4.06E-05
3885.861,-3.92E-05
3883.932,-5.04E-05
3882.004,-6.19E-05
3880.075,-6.48E-05
3878.147,-6.51E-05
3876.218,-6.58E-05
3874.29,-6.14E-05
3872.361,-5.33E-05
3870.433,-5.43E-05
3868.504,-6.66E-05
3866.576,-6.83E-05
3864.647,-5.16E-05
3862.719,-3.75E-05
3860.791,-3.85E-05
3858.862,-4.13E-05
3856.934,-3.55E-05
3855.005,-2.96E-05
3853.077,-2.82E-05
3851.148,-3.65E-05
3849.22,-5.14E-05
3847.291,-5.38E-05
3845.363,-4.40E-05
3843.434,-3.62E-05
3841.506,-4.09E-05
3839.577,-5.53E-05
3837.649,-6.28E-05
3835.72,-6.50E-05
3833.792,-7.27E-05
3831.864,-8.08E-05
3829.935,-8.39E-05
3828.007,-8.40E-05
3826.078,-8.62E-05
3824.15,-8.37E-05
3822.221,-6.54E-05
3820.293,-5.30E-05
3818.364,-6.93E-05
3816.436,-9.10E-05
3814.507,-9.31E-05
3812.579,-8.63E-05
3810.65,-7.95E-05
3808.722,-7.27E-05
3806.793,-7.54E-05
3804.865,-8.62E-05
3802.937,-9.10E-05
3801.008,-9.49E-05
3799.08,-0.000103997
3797.151,-0.000110001
3795.223,-0.000111658
3793.294,-0.000112589
3791.366,-0.000119214
3789.437,-0.0001291
3787.509,-0.0001232
3785.58,-0.000105395
3783.652,-0.000109743
3781.723,-0.000138571
3779.795,-0.000153632
3777.866,-0.000147007
3775.938,-0.000145351
3774.01,-0.000152752
3772.081,-0.000153114
3770.153,-0.000145144
3768.224,-0.000144213
3766.296,-0.000153994
3764.367,-0.000163983
3762.439,-0.000164759
3760.51,-0.000148612
3758.582,-0.000123252
3756.653,-0.000116885
3754.725,-0.000141159
3752.796,-0.000167812
3750.868,-0.000180543
3748.939,-0.000205227
3747.011,-0.000263129
3745.083,-0.000355631
3743.154,-0.000471386
3741.226,-0.000593212
3739.297,-0.000740225
3737.369,-0.000922579
3735.44,-0.001096077
3733.512,-0.001245089
3731.583,-0.001378877
3729.655,-0.001470626
3727.726,-0.001502408
3725.798,-0.00147527
3723.869,-0.001383109
3721.941,-0.001233783
3720.012,-0.001054452
3718.084,-0.000857428
3716.156,-0.00068063
3714.227,-0.000631624
3712.299,-0.00074865
3710.37,-0.000934048
3708.442,-0.001107955
3706.513,-0.001258149
3704.585,-0.001365407
3702.656,-0.001418407
3700.728,-0.001443846
3698.799,-0.001455095
3696.871,-0.00143172
3694.942,-0.001376916
3693.014,-0.001318698
3691.085,-0.001260421
3689.157,-0.001201
3687.229,-0.001148748
3685.3,-0.001115081
3683.372,-0.001118747
3681.443,-0.00114818
3679.515,-0.001178954
3677.586,-0.001213442
3675.658,-0.001246276
3673.729,-0.001268835
3671.801,-0.001299652
3669.872,-0.001354104
3667.944,-0.00140179
3666.015,-0.001422535
3664.087,-0.001466137
3662.158,-0.001544919
3660.23,-0.001605067
3658.302,-0.00165092
3656.373,-0.001729462
3654.445,-0.001819487
3652.516,-0.001869699
3650.588,-0.001901865
3648.659,-0.001964695
3646.731,-0.00203978
3644.802,-0.002099137
3642.874,-0.002160393
3640.945,-0.002240749
3639.017,-0.002357187
3637.088,-0.002516628
3635.16,-0.002672666
3633.231,-0.00278976
3631.303,-0.00289376
3629.375,-0.003006527
3627.446,-0.003114742
3625.518,-0.003194921
3623.589,-0.003218613
3621.661,-0.003174672
3619.732,-0.003086521
3617.804,-0.002959223
3615.875,-0.002785593
3613.947,-0.002651054
3612.018,-0.002654399
3610.09,-0.002747782
3608.161,-0.002859199
3606.233,-0.003004008
3604.304,-0.003165781
3602.376,-0.003268355
3600.448,-0.003276576
3598.519,-0.003249805
3596.591,-0.003255663
3594.662,-0.003279145
3592.734,-0.003294714
3590.805,-0.00329456
3588.877,-0.003260442
3586.948,-0.003200523
3585.02,-0.003137615
3583.091,-0.003074081
3581.163,-0.003014393
3579.234,-0.002984521
3577.306,-0.003000049
3575.377,-0.003039534
3573.449,-0.003069454
3571.521,-0.003071202
3569.592,-0.003056448
3567.664,-0.003070996
3565.735,-0.00313818
3563.807,-0.003196823
3561.878,-0.003202681
3559.95,-0.003229096
3558.021,-0.003308535
3556.093,-0.003342495
3554.164,-0.003299184
3552.236,-0.003253299
3550.307,-0.003238757
3548.379,-0.003258181
3546.45,-0.003305504
3544.522,-0.003355287
3542.594,-0.003382977
3540.665,-0.003378046
3538.737,-0.003401264
3536.808,-0.003501677
3534.88,-0.003630408
3532.951,-0.003743652
3531.023,-0.00380796
3529.094,-0.003792718
3527.166,-0.003752839
3525.237,-0.00375674
3523.309,-0.003802982
3521.38,-0.003897094
3519.452,-0.004050533
3517.523,-0.004192331
3515.595,-0.004224274
3513.667,-0.004182999
3511.738,-0.004214276
3509.81,-0.004344333
3507.881,-0.004493721
3505.953,-0.004616779
3504.024,-0.004638703
3502.096,-0.004557918
3500.167,-0.004537989
3498.239,-0.004646693
3496.31,-0.004760133
3494.382,-0.004807395
3492.453,-0.004853935
3490.525,-0.00494526
3488.596,-0.005048848
3486.668,-0.00513522
3484.74,-0.005221422
3482.811,-0.005319676
3480.883,-0.005404716
3478.954,-0.005453595
3477.026,-0.005482123
3475.097,-0.005565496
3473.169,-0.005720493
3471.24,-0.005844686
3469.312,-0.00594571
3467.383,-0.006090361
3465.455,-0.00620909
3463.526,-0.006277474
3461.598,-0.006331408
3459.669,-0.006367378
3457.741,-0.006447775
3455.813,-0.006592362
3453.884,-0.006741895
3451.956,-0.006893977
3450.027,-0.007011467
3448.099,-0.007032913
3446.17,-0.007004946
3444.242,-0.007051914
3442.313,-0.007236423
3440.385,-0.007460601
3438.456,-0.007582975
3436.528,-0.007636238
3434.599,-0.007765478
3432.671,-0.00795365
3430.742,-0.00809113
3428.814,-0.008221759
3426.885,-0.008398815
3424.957,-0.008520367
