Wavenumbers [1/cm],Absorbance
3997.712,-0.00026731
3995.783,-0.000277008
3993.855,-0.000275518
3991.926,-0.000272098
3989.998,-0.000274597
3988.069,-0.000280087
3986.141,-0.000273932
3984.212,-0.000259557
3982.284,-0.000262178
3980.355,-0.000281537
3978.427,-0.000298077
3976.499,-0.000306725
3974.57,-0.000307355
3972.642,-0.000300183
3970.713,-0.000291838
3968.785,-0.000290496
3966.856,-0.000295323
3964.928,-0.000291762
3962.999,-0.000280648
3961.071,-0.0002817
3959.142,-0.000290178
3957.214,-0.000285055
3955.285,-0.000271686
3953.357,-0.000271694
3951.428,-0.000283404
3949.5,-0.000292369
3947.572,-0.000298094
3945.643,-0.000294905
3943.715,-0.000275172
3941.786,-0.000251434
3939.858,-0.00024341
3937.929,-0.000254609
3936.001,-0.000270378
3934.072,-0.000276117
3932.144,-0.000272932
3930.215,-0.000277413
3928.287,-0.000290671
3926.358,-0.000293912
3924.43,-0.000282961
3922.501,-0.000270026
3920.573,-0.000269363
3918.645,-0.000277903
3916.716,-0.000286593
3914.788,-0.000297394
3912.859,-0.000303529
3910.931,-0.000304016
3909.002,-0.000306745
3907.074,-0.000300649
3905.145,-0.000286359
3903.217,-0.000284957
3901.288,-0.00029334
3899.36,-0.000291921
3897.431,-0.00028161
3895.503,-0.000275173
3893.574,-0.000274005
3891.646,-0.000268383
3889.718,-0.00026227
3887.789,-0.000275345
3885.861,-0.000301142
3883.932,-0.000313975
3882.004,-0.00031438
3880.075,-0.000311019
3878.147,-0.000304321
3876.218,-0.000303953
3874.29,-0.000312514
3872.361,-0.000321605
3870.433,-0.000327767
3868.504,-0.000326936
3866.576,-0.000321493
3864.647,-0.000317165
3862.719,-0.000305855
3860.791,-0.00028642
3858.862,-0.000278952
3856.934,-0.00030034
3855.005,-0.000340448
3853.077,-0.000360954
3851.148,-0.000337941
3849.22,-0.000293055
3847.291,-0.000263245
3845.363,-0.000262576
3843.434,-0.000282085
3841.506,-0.000303935
3839.577,-0.000320139
3837.649,-0.00033355
3835.72,-0.000342061
3833.792,-0.000340814
3831.864,-0.000337132
3829.935,-0.000338483
3828.007,-0.000336833
3826.078,-0.000323452
3824.15,-0.000307981
3822.221,-0.000300354
3820.293,-0.000297182
3818.364,-0.000299842
3816.436,-0.000304219
3814.507,-0.000293402
3812.579,-0.000275022
3810.65,-0.000270808
3808.722,-0.000275528
3806.793,-0.00027473
3804.865,-0.000273185
3802.937,-0.000282846
3801.008,-0.000296123
3799.08,-0.000303258
3797.151,-0.000312578
3795.223,-0.000317492
3793.294,-0.000310157
3791.366,-0.000312571
3789.437,-0.000329789
3787.509,-0.00033626
3785.58,-0.000323047
3783.652,-0.000306787
3781.723,-0.000305753
3779.795,-0.000316103
3777.866,-0.000325333
3775.938,-0.000329826
3774.01,-0.00031623
3772.081,-0.000284285
3770.153,-0.000271008
3768.224,-0.000294792
3766.296,-0.000323483
3764.367,-0.000331232
3762.439,-0.000333647
3760.51,-0.000337405
3758.582,-0.000318277
3756.653,-0.000290711
3754.725,-0.000301975
3752.796,-0.000335628
3750.868,-0.000344119
3748.939,-0.000335619
3747.011,-0.000336045
3745.083,-0.000336041
3743.154,-0.000321688
3741.226,-0.000308569
3739.297,-0.000311453
3737.369,-0.000325473
3735.44,-0.000346206
3733.512,-0.000363016
3731.583,-0.000358947
3729.655,-0.000332102
3727.726,-0.000309124
3725.798,-0.00031404
3723.869,-0.000330341
3721.941,-0.000341449
3720.012,-0.00035022
3718.084,-0.000351467
3716.156,-0.000344338
3714.227,-0.000339246
3712.299,-0.00035586
3710.37,-0.000399634
3708.442,-0.000423634
3706.513,-0.000396425
3704.585,-0.00037042
3702.656,-0.000394002
3700.728,-0.00043912
3698.799,-0.00046407
3696.871,-0.00046425
3694.942,-0.000448864
3693.014,-0.000436251
3691.085,-0.000449873
3689.157,-0.000489789
3687.229,-0.000531649
3685.3,-0.000543697
3683.372,-0.000526919
3681.443,-0.000527329
3679.515,-0.000567284
3677.586,-0.000620469
3675.658,-0.000661973
