Wavenumbers [1/cm],Absorbance
3997.712,-0.00052765
3995.783,-0.00053887
3993.855,-0.000542593
3991.926,-0.000541714
3989.998,-0.0005322
3988.069,-0.000514619
3986.141,-0.000503552
3984.212,-0.000509603
3982.284,-0.000513171
3980.355,-0.000503759
3978.427,-0.000499002
3976.499,-0.000510534
3974.57,-0.000530907
3972.642,-0.000541042
3970.713,-0.000545851
3968.785,-0.000563483
3966.856,-0.000579769
3964.928,-0.000576667
3962.999,-0.000564413
3961.071,-0.000558571
3959.142,-0.000558053
3957.214,-0.000548798
3955.285,-0.000524909
3953.357,-0.000513223
3951.428,-0.000527288
3949.5,-0.000531579
3947.572,-0.000518135
3945.643,-0.000525271
3943.715,-0.000547092
3941.786,-0.00054978
3939.858,-0.000537578
3937.929,-0.000530183
3936.001,-0.000531321
3934.072,-0.000534941
3932.144,-0.000536543
3930.215,-0.000530856
3928.287,-0.00050681
3926.358,-0.000479713
3924.43,-0.00048566
3922.501,-0.000526202
3920.573,-0.000563172
3918.645,-0.00056281
3916.716,-0.00052465
3914.788,-0.000487418
3912.859,-0.000488504
3910.931,-0.000507483
3909.002,-0.000513791
3907.074,-0.000526512
3905.145,-0.000557123
3903.217,-0.000572117
3901.288,-0.000553555
3899.36,-0.000522427
3897.431,-0.000505776
3895.503,-0.000514619
3893.574,-0.000523306
3891.646,-0.000514308
3889.718,-0.000517308
3887.789,-0.000538353
3885.861,-0.000554434
3883.932,-0.000566378
3882.004,-0.000572634
3880.075,-0.00055976
3878.147,-0.000543214
3876.218,-0.000542283
3874.29,-0.000539129
3872.361,-0.000523358
3870.433,-0.000514774
3868.504,-0.000525633
3866.576,-0.000541559
3864.647,-0.000548178
3862.719,-0.000555882
3860.791,-0.000569429
3858.862,-0.000587266
3856.934,-0.000606395
3855.005,-0.000607481
3853.077,-0.000589696
3851.148,-0.000573461
3849.22,-0.000555055
3847.291,-0.000530959
3845.363,-0.000529925
3843.434,-0.000552676
3841.506,-0.000569118
3839.577,-0.000581579
3837.649,-0.000594039
3835.72,-0.000590937
3833.792,-0.000569584
3831.864,-0.00054916
3829.935,-0.000558829
3828.007,-0.000589334
3826.078,-0.000589644
3824.15,-0.0005534
3822.221,-0.000537216
3820.293,-0.000563069
3818.364,-0.000586335
3816.436,-0.000578218
3814.507,-0.000563327
3812.579,-0.000566223
3810.65,-0.000579614
3808.722,-0.000595383
3806.793,-0.000601225
3804.865,-0.000584733
3802.937,-0.000567671
3801.008,-0.000564362
3799.08,-0.000560173
3797.151,-0.000553452
3795.223,-0.000550246
3793.294,-0.000554176
3791.366,-0.000571859
3789.437,-0.000587369
3787.509,-0.000577649
3785.58,-0.000554434
3783.652,-0.000538663
3781.723,-0.000540111
3779.795,-0.00056069
3777.866,-0.000592902
3775.938,-0.00062144
3774.01,-0.000628988
3772.081,-0.000614357
3770.153,-0.000584112
3768.224,-0.000557485
3766.296,-0.00056038
3764.367,-0.000583543
3762.439,-0.000607533
3760.51,-0.000628264
3758.582,-0.000641446
3756.653,-0.000638345
3754.725,-0.000617459
3752.796,-0.000598072
3750.868,-0.000589024
3748.939,-0.000563431
3747.011,-0.000518032
3745.083,-0.000469576
3743.154,-0.000394427
3741.226,-0.000290757
3739.297,-0.000194567
3737.369,-8.03E-05
3735.44,8.13E-05
3733.512,0.000242542
3731.583,0.000357244
3729.655,0.000424168
3727.726,0.000440259
3725.798,0.000391002
3723.869,0.0002916
3721.941,0.000169068
3720.012,-2.07E-07
3718.084,-0.000233946
3716.156,-0.00044651
3714.227,-0.000532562
3712.299,-0.000480075
3710.37,-0.000334887
3708.442,-0.000165173
3706.513,-4.57E-05
3704.585,-9.78E-06
3702.656,-3.91E-05
3700.728,-8.13E-05
3698.799,-0.000105602
3696.871,-0.000147111
3694.942,-0.000226754
3693.014,-0.00030752
3691.085,-0.000387392
3689.157,-0.000492951
3687.229,-0.000614409
3685.3,-0.000732473
3683.372,-0.000824668
3681.443,-0.000869054
3679.515,-0.000894009
3677.586,-0.000959051
3675.658,-0.001060392
3673.729,-0.001141726
3671.801,-0.001197644
3669.872,-0.001238068
3667.944,-0.0012502
3666.015,-0.001269764
3664.087,-0.001336556
3662.158,-0.0014182
3660.23,-0.001461803
3658.302,-0.001472277
3656.373,-0.001495289
3654.445,-0.00154136
3652.516,-0.001587735
3650.588,-0.001617704
3648.659,-0.001628174
3646.731,-0.001663143
3644.802,-0.001729978
3642.874,-0.001743385
3640.945,-0.001687021
3639.017,-0.001628071
3637.088,-0.001583196
3635.16,-0.00153001
3633.231,-0.0014811
3631.303,-0.001480481
3629.375,-0.001500964
3627.446,-0.001466292
3625.518,-0.001402306
3623.589,-0.001370774
3621.661,-0.001391211
3619.732,-0.001502821
3617.804,-0.001691559
3615.875,-0.00187073
3613.947,-0.001971962
3612.018,-0.001958356
3610.09,-0.001892845
3608.161,-0.001874957
3606.233,-0.001871452
3604.304,-0.001833665
3602.376,-0.001786284
3600.448,-0.00173993
3598.519,-0.001689754
3596.591,-0.001649373
3594.662,-0.001670982
3592.734,-0.001777158
3590.805,-0.001878978
3588.877,-0.001915473
3586.948,-0.001935936
3585.02,-0.001968096
3583.091,-0.002020404
3581.163,-0.002108926
3579.234,-0.002205363
3577.306,-0.002288647
3575.377,-0.002322944
3573.449,-0.002277162
3571.521,-0.002244406
3569.592,-0.002295857
3567.664,-0.002371553
3565.735,-0.002417326
3563.807,-0.002419385
3561.878,-0.002394775
3559.95,-0.002402086
3558.021,-0.002462681
3556.093,-0.002495112
3554.164,-0.002433594
3552.236,-0.002378659
3550.307,-0.002412177
3548.379,-0.002465873
3546.45,-0.002504068
3544.522,-0.002529239
3542.594,-0.002524658
3540.665,-0.002527437
3538.737,-0.002578442
3536.808,-0.002623061
3534.88,-0.002629853
3532.951,-0.002646989
3531.023,-0.002665925
3529.094,-0.002705235
3527.166,-0.002808895
3525.237,-0.002879205
3523.309,-0.002853027
3521.38,-0.002791252
3519.452,-0.002726483
3517.523,-0.002691137
3515.595,-0.002732657
3513.667,-0.002823195
3511.738,-0.002930889
3509.81,-0.003017787
3507.881,-0.003016553
3505.953,-0.002987503
3504.024,-0.003034136
3502.096,-0.003152315
3500.167,-0.00331208
3498.239,-0.003434087
3496.31,-0.003399158
3494.382,-0.003299749
3492.453,-0.003333042
3490.525,-0.003417959
3488.596,-0.00344549
3486.668,-0.003535982
3484.74,-0.003673533
3482.811,-0.00369422
3480.883,-0.003617213
3478.954,-0.003564379
3477.026,-0.003578294
3475.097,-0.003659774
3473.169,-0.003775063
3471.24,-0.003859226
3469.312,-0.003930546
3467.383,-0.00403294
3465.455,-0.004139976
3463.526,-0.004293791
3461.598,-0.004513652
3459.669,-0.004646642
3457.741,-0.004654325
3455.813,-0.004644183
3453.884,-0.004598697
3451.956,-0.004547518
3450.027,-0.004647462
3448.099,-0.004861768
3446.17,-0.004991274
3444.242,-0.004978427
3442.313,-0.004935842
3440.385,-0.005010364
3438.456,-0.00518106
3436.528,-0.005279579
3434.599,-0.005255386
3432.671,-0.005166326
3430.742,-0.005144736
3428.814,-0.005295843
3426.885,-0.005456816
3424.957,-0.005494085
3423.029,-0.005520463
3421.1,-0.00560669
3419.172,-0.005733573
3417.243,-0.00583636
3415.315,-0.005798813
3413.386,-0.005690908
3411.458,-0.005707923
3409.529,-0.00585245
3407.601,-0.006081581
3405.672,-0.006338041
3403.744,-0.006481134
3401.815,-0.006495211
3399.887,-0.006467974
3397.958,-0.006521579
3396.03,-0.006678275
3394.102,-0.00672176
3392.173,-0.006566151
3390.245,-0.006487153
3388.316,-0.006688114
3386.388,-0.006981715
3384.459,-0.007171296
3382.531,-0.007227614
3380.602,-0.007072033
3378.674,-0.006807291
3376.745,-0.006742456
3374.817,-0.006899938
3372.888,-0.007098112
3370.96,-0.007298587
3369.031,-0.007373468
3367.103,-0.007186114
3365.175,-0.006944879
3363.246,-0.006881594
3361.318,-0.007001431
3359.389,-0.007168036
3357.461,-0.007209691
3355.532,-0.007152556
3353.604,-0.007102237
3351.675,-0.006997355
3349.747,-0.006745616
3347.818,-0.006388244
3345.89,-0.006140797
3343.961,-0.006234965
3342.033,-0.006476951
3340.104,-0.006442725
3338.176,-0.006169075
3336.248,-0.005987992
3334.319,-0.006045026
3332.391,-0.006156774
3330.462,-0.006054726
3328.534,-0.005921401
3326.605,-0.005940042
3324.677,-0.005827676
3322.748,-0.00554137
3320.82,-0.00534003
3318.891,-0.005195998
3316.963,-0.005026894
3315.034,-0.005023874
3313.106,-0.005149852
3311.177,-0.004992092
3309.249,-0.004554537
3307.321,-0.004271594
3305.392,-0.004259188
3303.464,-0.004236938
3301.535,-0.004061868
3299.607,-0.003975129
3297.678,-0.004025554
3295.75,-0.003905868
3293.821,-0.003633437
3291.893,-0.00354086
3289.964,-0.003713265
3288.036,-0.00398308
3286.107,-0.004217352
3284.179,-0.004338644
3282.25,-0.004267031
3280.322,-0.004042993
3278.394,-0.003813503
3276.465,-0.003647607
3274.537,-0.003582248
3272.608,-0.003677126
3270.68,-0.003858405
3268.751,-0.003953274
3266.823,-0.004039198
3264.894,-0.004297226
3262.966,-0.004556843
3261.037,-0.004661598
3259.109,-0.004659447
3257.18,-0.004567089
3255.252,-0.004519186
3253.323,-0.004586402
3251.395,-0.004634349
3249.467,-0.004541114
3247.538,-0.004396817
3245.61,-0.004445758
3243.681,-0.004679474
3241.753,-0.004970494
3239.824,-0.005217125
3237.896,-0.005224849
3235.967,-0.005042963
3234.039,-0.004937377
3232.11,-0.00506814
3230.182,-0.005428032
3228.253,-0.005749871
3226.325,-0.005666227
3224.396,-0.00533328
3222.468,-0.005287916
3220.54,-0.00545017
3218.611,-0.005483605
3216.683,-0.005511824
3214.754,-0.005474403
3212.826,-0.005273799
3210.897,-0.005184795
3208.969,-0.005156862
3207.04,-0.004967628
3205.112,-0.004825623
3203.183,-0.004976124
3201.255,-0.005170266
3199.326,-0.005056012
3197.398,-0.0048332
3195.469,-0.004726693
3193.541,-0.004582099
3191.613,-0.004430128
3189.684,-0.004391692
3187.756,-0.004387335
3185.827,-0.004454572
3183.899,-0.004596392
3181.97,-0.004578155
3180.042,-0.004377957
3178.113,-0.004207354
3176.185,-0.004153463
3174.256,-0.004181922
3172.328,-0.004154386
3170.399,-0.004008524
3168.471,-0.00394091
3166.542,-0.004028734
3164.614,-0.004046379
3162.686,-0.003864511
3160.757,-0.003669888
3158.829,-0.003624247
3156.9,-0.003624658
3154.972,-0.003557857
3153.043,-0.003447545
3151.115,-0.003357753
3149.186,-0.003334583
3147.258,-0.003290603
3145.329,-0.00314147
3143.401,-0.003039071
3141.472,-0.003021745
3139.544,-0.002931918
3137.615,-0.002883114
3135.687,-0.003002774
3133.759,-0.003043081
3131.83,-0.00286033
3129.902,-0.002647555
3127.973,-0.002537886
3126.045,-0.002519099
3124.116,-0.00254365
3122.188,-0.002504583
3120.259,-0.002329329
3118.331,-0.002093367
3116.402,-0.001960005
3114.474,-0.001967272
3112.545,-0.001980362
3110.617,-0.001909082
3108.688,-0.001784738
3106.76,-0.001673716
3104.832,-0.001577934
3102.903,-0.001440802
3100.975,-0.001305742
3099.046,-0.001270435
3097.118,-0.00128938
3095.189,-0.001237087
3093.261,-0.001106715
3091.332,-0.00098958
3089.404,-0.000907235
3087.475,-0.0007871
3085.547,-0.000628212
3083.618,-0.000531373
3081.69,-0.000492589
3079.761,-0.000405289
3077.833,-0.000268096
3075.905,-0.000170503
3073.976,-0.000152804
3072.048,-0.000168226
3070.119,-0.000144368
3068.191,-5.73E-05
3066.262,5.26E-05
3064.334,0.000133903
3062.405,0.000191469
3060.477,0.000270385
3058.548,0.000356078
3056.62,0.000376183
3054.691,0.000330482
3052.763,0.0003038
3050.834,0.000331208
3048.906,0.000359135
3046.978,0.000361596
3045.049,0.000376882
3043.121,0.000407896
3041.192,0.000435517
