Wavenumbers [1/cm],Absorbance
3997.712,-0.00039572
3995.783,-0.000397168
3993.855,-0.000407616
3991.926,-0.000427995
3989.998,-0.000437201
3988.069,-0.00041703
3986.141,-0.000393289
3984.212,-0.000391737
3982.284,-0.000395358
3980.355,-0.000388944
3978.427,-0.000375805
3976.499,-0.000368719
3974.57,-0.000385995
3972.642,-0.00042303
3970.713,-0.000451631
3968.785,-0.00045582
3966.856,-0.000449355
3964.928,-0.00044227
3962.999,-0.000430943
3961.071,-0.000424581
3959.142,-0.000422564
3957.214,-0.000410306
3955.285,-0.000390909
3953.357,-0.000382478
3951.428,-0.000393754
3949.5,-0.000409013
3947.572,-0.000413926
3945.643,-0.000429443
3943.715,-0.000460423
3941.786,-0.000472576
3939.858,-0.000458406
3937.929,-0.000439839
3936.001,-0.000427684
3934.072,-0.00042484
3932.144,-0.000422305
3930.215,-0.00041584
3928.287,-0.00041884
3926.358,-0.000432029
3924.43,-0.000436736
3922.501,-0.000433839
3920.573,-0.00044139
3918.645,-0.000447441
3916.716,-0.000436011
3914.788,-0.000425098
3912.859,-0.000431719
3910.931,-0.00044982
3909.002,-0.000453854
3907.074,-0.000439322
3905.145,-0.000435908
3903.217,-0.0004477
3901.288,-0.00045613
3899.36,-0.000450389
3897.431,-0.000433477
3895.503,-0.000427788
3893.574,-0.000431512
3891.646,-0.000425874
3889.718,-0.000419616
3887.789,-0.000421943
3885.861,-0.00043027
3883.932,-0.00044439
3882.004,-0.000460578
3880.075,-0.000465905
3878.147,-0.000462181
3876.218,-0.00046968
3874.29,-0.000482764
3872.361,-0.000482091
3870.433,-0.000469525
3868.504,-0.000455251
3866.576,-0.000449407
3864.647,-0.000453286
3862.719,-0.00045913
3860.791,-0.00045763
3858.862,-0.000450493
3856.934,-0.00045763
3855.005,-0.000475524
3853.077,-0.000477437
3851.148,-0.00046818
3849.22,-0.000458457
3847.291,-0.000441907
3845.363,-0.000433839
3843.434,-0.0004522
3841.506,-0.000477023
3839.577,-0.000480126
3837.649,-0.000471852
3835.72,-0.000467404
3833.792,-0.000452096
3831.864,-0.000434563
3829.935,-0.000443097
3828.007,-0.00046094
3826.078,-0.000451269
3824.15,-0.000424219
3822.221,-0.000423547
3820.293,-0.000455147
3818.364,-0.000482919
3816.436,-0.000494089
3814.507,-0.000498433
3812.579,-0.000490314
3810.65,-0.000479506
3808.722,-0.000484367
3806.793,-0.000478989
3804.865,-0.000454165
3802.937,-0.000450286
3801.008,-0.000470973
3799.08,-0.000489331
3797.151,-0.00049683
3795.223,-0.0004929
3793.294,-0.000495589
3791.366,-0.000514774
3789.437,-0.00051948
3787.509,-0.000506035
3785.58,-0.000503966
3783.652,-0.000503863
3781.723,-0.000486694
3779.795,-0.000471542
3777.866,-0.000484005
3775.938,-0.000514257
3774.01,-0.000524702
3772.081,-0.000504845
3770.153,-0.000478937
3768.224,-0.000477644
3766.296,-0.00050438
3764.367,-0.000522117
3762.439,-0.000522324
3760.51,-0.000527443
3758.582,-0.000531011
3756.653,-0.000530649
3754.725,-0.000539387
3752.796,-0.000549677
3750.868,-0.000539439
3748.939,-0.000483643
3747.011,-0.000400789
3745.083,-0.000347716
3743.154,-0.000298725
3741.226,-0.000179456
3739.297,-1.32E-05
3737.369,0.000149284
3735.44,0.000314654
3733.512,0.000479103
3731.583,0.000613724
3729.655,0.000700495
3727.726,0.000712967
3725.798,0.000631974
3723.869,0.000491594
3721.941,0.000346026
3720.012,0.000181266
3718.084,-5.88E-05
3716.156,-0.000312228
3714.227,-0.00042334
3712.299,-0.000349217
3710.37,-0.000173971
3708.442,1.04E-05
3706.513,0.000148559
3704.585,0.000217082
3702.656,0.000209339
3700.728,0.00015133
3698.799,9.10E-05
3696.871,3.76E-05
3694.942,-2.03E-05
3693.014,-9.21E-05
3691.085,-0.000205848
3689.157,-0.000361166
3687.229,-0.000509344
3685.3,-0.000627747
3683.372,-0.000734643
3681.443,-0.000818519
3679.515,-0.000852365
3677.586,-0.000882332
3675.658,-0.000953988
3673.729,-0.001021656
3671.801,-0.001055485
3669.872,-0.001083528
3667.944,-0.001120348
3666.015,-0.001176682
3664.087,-0.001262073
3662.158,-0.001345279
3660.23,-0.001378412
3658.302,-0.00136102
3656.373,-0.001343679
3654.445,-0.001351318
3652.516,-0.001381664
3650.588,-0.001443795
3648.659,-0.001507826
3646.731,-0.001551419
3644.802,-0.001585414
3642.874,-0.00157778
3640.945,-0.0015232
3639.017,-0.001480068
3637.088,-0.001457314
3635.16,-0.001391159
3633.231,-0.001271726
3631.303,-0.001191087
3629.375,-0.001189796
3627.446,-0.001200432
3625.518,-0.001178386
3623.589,-0.001169247
3621.661,-0.001238171
3619.732,-0.00137511
3617.804,-0.001529236
3615.875,-0.001675778
3613.947,-0.00176334
3612.018,-0.001758699
3610.09,-0.001733794
3608.161,-0.001714198
3606.233,-0.001640347
3604.304,-0.00156086
3602.376,-0.001558693
3600.448,-0.001572054
3598.519,-0.001525779
3596.591,-0.001483577
3594.662,-0.001530784
3592.734,-0.001656438
3590.805,-0.001764887
3588.877,-0.001796493
3586.948,-0.001825004
3585.02,-0.001898927
3583.091,-0.00196253
3581.163,-0.00199572
3579.234,-0.002036018
3577.306,-0.00210228
3575.377,-0.002157045
3573.449,-0.002191558
3571.521,-0.002241007
3569.592,-0.002292097
3567.664,-0.002315477
3565.735,-0.002307753
3563.807,-0.002281951
3561.878,-0.002264699
3559.95,-0.00226645
3558.021,-0.002267325
3556.093,-0.002226791
3554.164,-0.002156581
3552.236,-0.002162917
3550.307,-0.002286638
3548.379,-0.002406153
