Wavenumbers [1/cm],absorbance
3997.712,-0.00031228
3995.783,-0.000321333
3993.855,-0.000317039
3991.926,-0.000309124
3989.998,-0.000296345
3988.069,-0.000284083
3986.141,-0.000282738
3984.212,-0.000284497
3982.284,-0.000285222
3980.355,-0.000298828
3978.427,-0.000318798
3976.499,-0.000326041
3974.57,-0.000324903
3972.642,-0.000322471
3970.713,-0.000319626
3968.785,-0.000328783
3966.856,-0.000344664
3964.928,-0.00034394
3962.999,-0.000340888
3961.071,-0.000350148
3959.142,-0.000353096
3957.214,-0.00034006
3955.285,-0.000313366
3953.357,-0.000288843
3951.428,-0.000279634
3949.5,-0.000272494
3947.572,-0.000268613
3945.643,-0.000291792
3943.715,-0.000335301
3941.786,-0.000357545
3939.858,-0.00033856
3937.929,-0.000307934
3936.001,-0.000298311
3934.072,-0.00030364
3932.144,-0.000302553
3930.215,-0.000299346
3928.287,-0.000308917
3926.358,-0.000321799
3924.43,-0.000322109
3922.501,-0.000318488
3920.573,-0.00032004
3918.645,-0.000320712
3916.716,-0.000308503
3914.788,-0.000285066
3912.859,-0.000278289
3910.931,-0.000294069
3909.002,-0.000304416
3907.074,-0.000307261
3905.145,-0.000320505
3903.217,-0.000342543
3901.288,-0.000355735
3899.36,-0.000343475
3897.431,-0.000313573
3895.503,-0.000297328
3893.574,-0.000302864
3891.646,-0.000315177
3889.718,-0.000327231
3887.789,-0.000333697
3885.861,-0.000340164
3883.932,-0.000355373
3882.004,-0.000365511
3880.075,-0.000362097
3878.147,-0.000359976
3876.218,-0.00036396
3874.29,-0.000359718
3872.361,-0.000353045
3870.433,-0.000359252
3868.504,-0.000369184
3866.576,-0.000371408
3864.647,-0.000364529
3862.719,-0.00035082
3860.791,-0.000347458
3858.862,-0.000371512
3856.934,-0.000403271
3855.005,-0.000401047
3853.077,-0.000363132
3851.148,-0.000336129
3849.22,-0.000340888
3847.291,-0.000344406
3845.363,-0.0003308
3843.434,-0.000328421
3841.506,-0.000345854
3839.577,-0.000356873
3837.649,-0.000352424
3835.72,-0.000347923
3833.792,-0.000348234
3831.864,-0.000348441
3829.935,-0.000354752
3828.007,-0.000367684
3826.078,-0.000363339
3824.15,-0.000336801
3822.221,-0.000324644
3820.293,-0.000337732
3818.364,-0.000353459
3816.436,-0.000367012
3814.507,-0.000380512
3812.579,-0.00038703
3810.65,-0.000388013
3808.722,-0.00039153
3806.793,-0.000390702
3804.865,-0.000380099
3802.937,-0.000367374
3801.008,-0.000359045
3799.08,-0.00036427
3797.151,-0.000369132
3795.223,-0.000354545
3793.294,-0.000344509
3791.366,-0.000361063
3789.437,-0.000377357
3787.509,-0.000362873
3785.58,-0.000341043
3783.652,-0.000339698
3781.723,-0.000346734
3779.795,-0.000358994
3777.866,-0.000380719
3775.938,-0.000401306
3774.01,-0.00040922
3772.081,-0.000402185
3770.153,-0.000387857
3768.224,-0.000387599
3766.296,-0.000406634
3764.367,-0.000415013
3762.439,-0.000410616
3760.51,-0.000419254
3758.582,-0.000422926
3756.653,-0.000402754
3754.725,-0.000396444
3752.796,-0.000424891
3750.868,-0.000432494
3748.939,-0.000372288
3747.011,-0.000281186
3745.083,-0.000199483
3743.154,-9.64E-05
3741.226,6.02E-05
3739.297,0.000242309
3737.369,0.000427018
3735.44,0.00062189
3733.512,0.000814152
3731.583,0.000971784
3729.655,0.001066257
3727.726,0.001075157
3725.798,0.000999753
3723.869,0.000870874
3721.941,0.000717478
3720.012,0.000518132
3718.084,0.000233995
3716.156,-6.34E-05
3714.227,-0.000210143
3712.299,-0.000139917
3710.37,5.65E-05
3708.442,0.000259636
3706.513,0.000413492
3704.585,0.000489909
3702.656,0.00048172
3700.728,0.000430853
3698.799,0.000385095
3696.871,0.000336337
3694.942,0.000246297
3693.014,0.00011469
3691.085,-2.43E-05
3689.157,-0.000141573
3687.229,-0.000237517
3685.3,-0.000336077
3683.372,-0.000435546
3681.443,-0.000513274
3679.515,-0.000574289
3677.586,-0.000654939
3675.658,-0.000759348
3673.729,-0.000849781
3671.801,-0.000923922
3669.872,-0.000991129
3667.944,-0.001035291
3666.015,-0.001070204
3664.087,-0.001129178
3662.158,-0.001207866
3660.23,-0.001271158
3658.302,-0.001305691
3656.373,-0.001314775
3654.445,-0.001294903
3652.516,-0.001281017
3650.588,-0.001307291
3648.659,-0.001345898
3646.731,-0.00139183
3644.802,-0.001439718
3642.874,-0.001426302
3640.945,-0.00135493
3639.017,-0.001293303
3637.088,-0.001236416
3635.16,-0.001130056
3633.231,-0.001004714
3631.303,-0.000945826
3629.375,-0.00093286
3627.446,-0.000889876
3625.518,-0.000835158
3623.589,-0.000841359
3621.661,-0.000948306
3619.732,-0.00113713
3617.804,-0.001337176
3615.875,-0.001487033
3613.947,-0.001575355
3612.018,-0.001607078
3610.09,-0.001589798
3608.161,-0.0015378
3606.233,-0.001459687
3604.304,-0.001390747
3602.376,-0.001362569
3600.448,-0.001341563
3598.519,-0.001295884
3596.591,-0.00126326
3594.662,-0.001292683
3592.734,-0.001376709
3590.805,-0.001455817
3588.877,-0.001512727
3586.948,-0.001589025
3585.02,-0.001681606
3583.091,-0.001772776
3581.163,-0.00184279
3579.234,-0.001864596
3577.306,-0.001902587
3575.377,-0.001994895
3573.449,-0.00205328
3571.521,-0.002043232
3569.592,-0.00203978
3567.664,-0.002086205
3565.735,-0.002142826
3563.807,-0.002167914
3561.878,-0.002163639
3559.95,-0.002148699
3558.021,-0.002133604
3556.093,-0.002112945
3554.164,-0.002104599
