Wavenumbers [1/cm],Absorbance
3997.712,-0.000229186
3995.783,-0.000228927
3993.855,-0.000231152
3991.926,-0.000240569
3989.998,-0.000251332
3988.069,-0.000254695
3986.141,-0.000244916
3984.212,-0.000228358
3982.284,-0.000222252
3980.355,-0.000233843
3978.427,-0.000241604
3976.499,-0.000235188
3974.57,-0.00023762
3972.642,-0.000247451
3970.713,-0.000240311
3968.785,-0.000223701
3966.856,-0.000217388
3964.928,-0.000215111
3962.999,-0.000211954
3961.071,-0.00022189
3959.142,-0.000246365
3957.214,-0.000274149
3955.285,-0.000283462
3953.357,-0.000267009
3951.428,-0.000251487
3949.5,-0.000241242
3947.572,-0.00022841
3945.643,-0.000226857
3943.715,-0.000235033
3941.786,-0.000244191
3939.858,-0.000252263
3937.929,-0.000245588
3936.001,-0.000224322
3934.072,-0.000211851
3932.144,-0.000220648
3930.215,-0.000244398
3928.287,-0.000263646
3926.358,-0.000266699
3924.43,-0.000265043
3922.501,-0.000267165
3920.573,-0.000267268
3918.645,-0.000261111
3916.716,-0.000249366
3914.788,-0.000234671
3912.859,-0.000219975
3910.931,-0.000211333
3909.002,-0.000214697
3907.074,-0.000230479
3905.145,-0.000251125
3903.217,-0.000257903
3901.288,-0.000241759
3899.36,-0.000219768
3897.431,-0.000213869
3895.503,-0.000228875
3893.574,-0.000249521
3891.646,-0.000259248
3889.718,-0.000262818
3887.789,-0.000266182
3885.861,-0.000265457
3883.932,-0.000263336
3882.004,-0.0002593
3880.075,-0.000251228
3878.147,-0.000246313
3876.218,-0.000250452
3874.29,-0.000256351
3872.361,-0.000258524
3870.433,-0.000262818
3868.504,-0.000265819
3866.576,-0.000259507
3864.647,-0.000257903
3862.719,-0.000262663
3860.791,-0.000252056
3858.862,-0.000240311
3856.934,-0.000258627
3855.005,-0.000295466
3853.077,-0.000320764
3851.148,-0.000321644
3849.22,-0.000307261
3847.291,-0.000301105
3845.363,-0.00031259
3843.434,-0.000313832
3841.506,-0.000282117
3839.577,-0.00024683
3837.649,-0.000235136
3835.72,-0.000245123
3833.792,-0.000273373
3831.864,-0.000295517
3829.935,-0.000282583
3828.007,-0.000249159
3826.078,-0.000241966
3824.15,-0.000271718
3822.221,-0.000296293
3820.293,-0.0002965
3818.364,-0.000297949
3816.436,-0.000314142
3814.507,-0.000328783
3812.579,-0.000321902
3810.65,-0.000294379
3808.722,-0.000273115
3806.793,-0.000277512
3804.865,-0.000285532
3802.937,-0.000279996
3801.008,-0.000288998
3799.08,-0.000311814
3797.151,-0.000310055
3795.223,-0.000285687
3793.294,-0.000257023
3791.366,-0.000239948
3789.437,-0.000259248
3787.509,-0.000295052
3785.58,-0.000307779
3783.652,-0.000302709
3781.723,-0.000297328
3779.795,-0.000292465
3777.866,-0.000292827
3775.938,-0.000298259
3774.01,-0.000293189
3772.081,-0.000282376
3770.153,-0.00028398
3768.224,-0.000290033
3766.296,-0.000286101
3764.367,-0.000285325
3762.439,-0.00029888
3760.51,-0.000303071
3758.582,-0.000295621
3756.653,-0.00030126
3754.725,-0.000321333
3752.796,-0.000346216
3750.868,-0.000348027
3748.939,-0.00029293
3747.011,-0.000212058
3745.083,-0.000153787
3743.154,-8.38E-05
3741.226,2.79E-05
3739.297,0.000152909
3737.369,0.000305666
3735.44,0.000497243
3733.512,0.000674231
3731.583,0.000792549
3729.655,0.000850072
3727.726,0.000859176
3725.798,0.000821647
3723.869,0.0007432
3721.941,0.000607451
3720.012,0.000386002
3718.084,0.000128517
3716.156,-7.36E-05
3714.227,-0.000148405
3712.299,-7.58E-05
3710.37,7.47E-05
3708.442,0.000221252
3706.513,0.000351363
3704.585,0.000458657
3702.656,0.000486048
3700.728,0.000412715
3698.799,0.000306546
3696.871,0.000222081
3694.942,0.000148611
3693.014,7.40E-05
3691.085,-3.11E-07
3689.157,-8.98E-05
3687.229,-0.000199276
3685.3,-0.000294948
3683.372,-0.000363546
3681.443,-0.000440614
3679.515,-0.000528942
3677.586,-0.000596572
3675.658,-0.00065499
3673.729,-0.000728545
3671.801,-0.000803688
3669.872,-0.000854741
3667.944,-0.000884709
3666.015,-0.000917826
3664.087,-0.000939369
3662.158,-0.000932136
3660.23,-0.000950217
3658.302,-0.001030901
3656.373,-0.001110072
3654.445,-0.001128094
3652.516,-0.001111105
3650.588,-0.001101035
3648.659,-0.001109607
3646.731,-0.001108936
3644.802,-0.001058532
3642.874,-0.000990354
3640.945,-0.00094252
3639.017,-0.000885329
3637.088,-0.000826994
3635.16,-0.000798159
3633.231,-0.000755678
3631.303,-0.000671325
3629.375,-0.000588145
3627.446,-0.000537474
3625.518,-0.000517204
3623.589,-0.000522892
3621.661,-0.000564258
3619.732,-0.000681819
3617.804,-0.000879542
3615.875,-0.001064317
3613.947,-0.001153034
3612.018,-0.001150091
3610.09,-0.001084922
3608.161,-0.000994487
3606.233,-0.000929657
3604.304,-0.000887551
3602.376,-0.000811698
3600.448,-0.000726632
3598.519,-0.000714744
3596.591,-0.000767513
3594.662,-0.000838103
3592.734,-0.000905272
3590.805,-0.000967574
3588.877,-0.001045621
3586.948,-0.001113222
3585.02,-0.001126338
3583.091,-0.001113635
3581.163,-0.001141881
3579.234,-0.001225988
3577.306,-0.001310388
3575.377,-0.001320298
3573.449,-0.001266357
3571.521,-0.001266461
3569.592,-0.001331911
3567.664,-0.00134853
3565.735,-0.001324221
3563.807,-0.001350234
3561.878,-0.001434971
3559.95,-0.001521343
3558.021,-0.001557197
3556.093,-0.001572415
3554.164,-0.001635756
3552.236,-0.00170177
3550.307,-0.00166206
3548.379,-0.001528617
3546.45,-0.001449935
3544.522,-0.001520672
3542.594,-0.001641997
3540.665,-0.001712909
3538.737,-0.00176401
3536.808,-0.001793657
3534.88,-0.001749676
3532.951,-0.001669435
3531.023,-0.00165747
3529.094,-0.001744725
3527.166,-0.001827324
