Wavenumbers [1/cm],absorbance
3997.712,-0.000197983
3995.783,-0.000180698
3993.855,-0.000170452
3991.926,-0.000183131
3989.998,-0.000212731
3988.069,-0.000233687
3986.141,-0.000236585
3984.212,-0.000225564
3982.284,-0.000214024
3980.355,-0.000215732
3978.427,-0.000221838
3976.499,-0.000230221
3974.57,-0.000242277
3972.642,-0.000238189
3970.713,-0.000226754
3968.785,-0.000227426
3966.856,-0.000224787
3964.928,-0.000205538
3962.999,-0.000191255
3961.071,-0.000203468
3959.142,-0.000222045
3957.214,-0.000231411
3955.285,-0.000238965
3953.357,-0.000249676
3951.428,-0.000260645
3949.5,-0.000253815
3947.572,-0.000234464
3945.643,-0.000233118
3943.715,-0.00024326
3941.786,-0.000241035
3939.858,-0.000228254
3937.929,-0.000214956
3936.001,-0.000211075
3934.072,-0.000225978
3932.144,-0.000242329
3930.215,-0.000251694
3928.287,-0.000275339
3926.358,-0.000298518
3924.43,-0.000291896
3922.501,-0.000270476
3920.573,-0.000256972
3918.645,-0.000247244
3916.716,-0.000231152
3914.788,-0.000216301
3912.859,-0.000217077
3910.931,-0.000229755
3909.002,-0.000236896
3907.074,-0.000237206
3905.145,-0.000242794
3903.217,-0.000249831
3901.288,-0.000250763
3899.36,-0.00024683
3897.431,-0.000240518
3895.503,-0.000244398
3893.574,-0.000253867
3891.646,-0.000243622
3889.718,-0.000221579
3887.789,-0.000215628
3885.861,-0.000227996
3883.932,-0.000236844
3882.004,-0.000230479
3880.075,-0.000225926
3878.147,-0.000231618
3876.218,-0.000235447
3874.29,-0.000236947
3872.361,-0.000244605
3870.433,-0.000250452
3868.504,-0.000244243
3866.576,-0.000234464
3864.647,-0.000232135
3862.719,-0.000237775
3860.791,-0.00023762
3858.862,-0.000223442
3856.934,-0.000222925
3855.005,-0.000255316
3853.077,-0.000285015
3851.148,-0.000283307
3849.22,-0.000269441
3847.291,-0.00026406
3845.363,-0.000268665
3843.434,-0.000271407
3841.506,-0.000265612
3839.577,-0.000266337
3837.649,-0.00027001
3835.72,-0.000265923
3833.792,-0.0002697
3831.864,-0.000277875
3829.935,-0.000270838
3828.007,-0.00025485
3826.078,-0.000255057
3824.15,-0.000274098
3822.221,-0.000283411
3820.293,-0.000281186
3818.364,-0.000298259
3816.436,-0.000333594
3814.507,-0.000350406
3812.579,-0.000325575
3810.65,-0.00028279
3808.722,-0.000261887
3806.793,-0.00026763
3804.865,-0.000289671
3802.937,-0.000323092
3801.008,-0.000348286
3799.08,-0.000347561
3797.151,-0.000326041
3795.223,-0.000297742
3793.294,-0.000271769
3791.366,-0.000262094
3789.437,-0.000276995
3787.509,-0.000297432
3785.58,-0.00030664
3783.652,-0.000303588
3781.723,-0.00028398
3779.795,-0.000264371
3777.866,-0.000266182
